fromNode	toNode	weight	direction	fromAltName	toAltName
ACAP1	ADAM19	0.0347872210786003	undirected	NA	NA
ACAP1	ADAMDEC1	0.0638372204502683	undirected	NA	NA
ACAP1	AKNA	0.183019120020668	undirected	NA	NA
ACAP1	APOBEC3G	0.0857005933324696	undirected	NA	NA
ACAP1	ARHGAP25	0.16895925759972	undirected	NA	NA
ACAP1	ARHGAP4	0.100475551969558	undirected	NA	NA
ACAP1	ARHGAP9	0.243564460465492	undirected	NA	NA
ACAP1	ARHGEF1	0.0655797731939013	undirected	NA	NA
ACAP1	BANK1	0.0857530122519391	undirected	NA	NA
ACAP1	BATF2	0.0421425306840641	undirected	NA	NA
ACAP1	BLNK	0.0975564341731602	undirected	NA	NA
ACAP1	BTN2A2	0.0812964467900132	undirected	NA	NA
ACAP1	BTN3A1	0.068899682311843	undirected	NA	NA
ACAP1	BTN3A2	0.0510786252702082	undirected	NA	NA
ACAP1	BTN3A3	0.0664252550832751	undirected	NA	NA
ACAP1	CBLN3	0.098007871151056	undirected	NA	NA
ACAP1	CCDC88B	0.123661721274008	undirected	NA	NA
ACAP1	CCL21	0.147270570268855	undirected	NA	NA
ACAP1	CCL5	0.103284844808756	undirected	NA	NA
ACAP1	CCR5	0.124389874215897	undirected	NA	NA
ACAP1	CCR7	0.242638837191198	undirected	NA	NA
ACAP1	CCR8	0.0626701369139103	undirected	NA	NA
ACAP1	CD180	0.162941351819284	undirected	NA	NA
ACAP1	CD19	0.299837550915737	undirected	NA	NA
ACAP1	CD2	0.151704267974585	undirected	NA	NA
ACAP1	CD22	0.282111189296047	undirected	NA	NA
ACAP1	CD247	0.188238723724659	undirected	NA	NA
ACAP1	CD27	0.204879540039353	undirected	NA	NA
ACAP1	CD37	0.183806103879982	undirected	NA	NA
ACAP1	CD38	0.077982186675998	undirected	NA	NA
ACAP1	CD3D	0.14624085122087	undirected	NA	NA
ACAP1	CD3E	0.199678815613163	undirected	NA	NA
ACAP1	CD3G	0.119343333032994	undirected	NA	NA
ACAP1	CD40LG	0.118140525925526	undirected	NA	NA
ACAP1	CD48	0.0989180862939487	undirected	NA	NA
ACAP1	CD5	0.159322491195349	undirected	NA	NA
ACAP1	CD6	0.196259982332426	undirected	NA	NA
ACAP1	CD7	0.138999491109472	undirected	NA	NA
ACAP1	CD72	0.227084313344125	undirected	NA	NA
ACAP1	CD79A	0.247405461793351	undirected	NA	NA
ACAP1	CD79B	0.28924066979291	undirected	NA	NA
ACAP1	CD8A	0.132495946255331	undirected	NA	NA
ACAP1	CHMP7	0.0775514695852687	undirected	NA	NA
ACAP1	CIITA	0.101145639248053	undirected	NA	NA
ACAP1	CORO1A	0.213942492063565	undirected	NA	NA
ACAP1	CPNE5	0.2193410115623	undirected	NA	NA
ACAP1	CR2	0.302480476822059	undirected	NA	NA
ACAP1	CTC1	0.0320235262315407	undirected	NA	NA
ACAP1	CXCL10	0.0332861065552397	undirected	NA	NA
ACAP1	CXCL9	0.0890034392431573	undirected	NA	NA
ACAP1	CXCR3	0.139692295894645	undirected	NA	NA
ACAP1	CXCR4	0.143341692222755	undirected	NA	NA
ACAP1	CXCR6	0.0816499188411248	undirected	NA	NA
ACAP1	CYTIP	0.104876907072154	undirected	NA	NA
ACAP1	DEF6	0.0869690007534589	undirected	NA	NA
ACAP1	DENND1C	0.0913155016969759	undirected	NA	NA
ACAP1	DENND2D	0.093100890962392	undirected	NA	NA
ACAP1	DERL3	0.112772383344497	undirected	NA	NA
ACAP1	DOCK2	0.142172427563039	undirected	NA	NA
ACAP1	DTX1	0.25854704036413	undirected	NA	NA
ACAP1	DUSP2	0.0914338177631144	undirected	NA	NA
ACAP1	EAF2	0.0359658979561963	undirected	NA	NA
ACAP1	EBI3	0.119596283457242	undirected	NA	NA
ACAP1	EOMES	0.144686522363814	undirected	NA	NA
ACAP1	EPSTI1	0.0402627360414138	undirected	NA	NA
ACAP1	ETV7	0.0496183169063933	undirected	NA	NA
ACAP1	FAM78A	0.192832666657946	undirected	NA	NA
ACAP1	FASLG	0.124636113641487	undirected	NA	NA
ACAP1	FCHO1	0.0562153831139927	undirected	NA	NA
ACAP1	FCRL5	0.0772091930290415	undirected	NA	NA
ACAP1	FCRLA	0.266910846589482	undirected	NA	NA
ACAP1	FNBP1	0.104416819182523	undirected	NA	NA
ACAP1	FOXP3	0.12771628042085	undirected	NA	NA
ACAP1	GAPT	0.090146054392766	undirected	NA	NA
ACAP1	GBP1	0.0474356600807614	undirected	NA	NA
ACAP1	GBP2	0.0626374799738187	undirected	NA	NA
ACAP1	GBP5	0.0741781104069179	undirected	NA	NA
ACAP1	GIMAP2	0.085564729365826	undirected	NA	NA
ACAP1	GRAP2	0.0897888118097041	undirected	NA	NA
ACAP1	GZMA	0.0824550518016926	undirected	NA	NA
ACAP1	GZMB	0.0826047573377429	undirected	NA	NA
ACAP1	GZMH	0.0737563606114911	undirected	NA	NA
ACAP1	GZMK	0.167536879992999	undirected	NA	NA
ACAP1	HAPLN3	0.0583240733295046	undirected	NA	NA
ACAP1	HCLS1	0.114407601557211	undirected	NA	NA
ACAP1	HCP5	0.0717530349441768	undirected	NA	NA
ACAP1	HERPUD1	0.0918779707941487	undirected	NA	NA
ACAP1	HLA-DOB	0.207974807476225	undirected	NA	NA
ACAP1	HSH2D	0.110176382800722	undirected	NA	NA
ACAP1	ICAM3	0.146970395615115	undirected	NA	NA
ACAP1	IFIH1	0.0261362252172283	undirected	NA	NA
ACAP1	IGKV1D-8	0.130031089103958	undirected	NA	NA
ACAP1	IKZF1	0.138155640702774	undirected	NA	NA
ACAP1	IKZF3	0.115938915774945	undirected	NA	NA
ACAP1	IL10RA	0.182077426682932	undirected	NA	NA
ACAP1	IL12RB1	0.174942080949846	undirected	NA	NA
ACAP1	IL16	0.190696075398798	undirected	NA	NA
ACAP1	IL21R	0.166727105142219	undirected	NA	NA
ACAP1	IL2RA	0.0372828701184387	undirected	NA	NA
ACAP1	IL2RB	0.146548788660471	undirected	NA	NA
ACAP1	IL2RG	0.12265393391628	undirected	NA	NA
ACAP1	IL4I1	0.071113634667803	undirected	NA	NA
ACAP1	INPP5D	0.156854888854388	undirected	NA	NA
ACAP1	IRF2	0.0739200729440558	undirected	NA	NA
ACAP1	IRF4	0.113094582499198	undirected	NA	NA
ACAP1	IRF8	0.188772514230765	undirected	NA	NA
ACAP1	ISG20	0.0405035017052361	undirected	NA	NA
ACAP1	ITGAL	0.192291198609035	undirected	NA	NA
ACAP1	ITGB7	0.156549194044238	undirected	NA	NA
ACAP1	JAK3	0.163820754184219	undirected	NA	NA
ACAP1	KIF21B	0.130149784228161	undirected	NA	NA
ACAP1	KLHL6	0.126938309944856	undirected	NA	NA
ACAP1	KLRB1	0.0855048451243599	undirected	NA	NA
ACAP1	LAG3	0.0891558166164594	undirected	NA	NA
ACAP1	LAP3	0.0573264129921487	undirected	NA	NA
ACAP1	LAX1	0.116159966515784	undirected	NA	NA
ACAP1	LCK	0.203019754297673	undirected	NA	NA
ACAP1	LIMD2	0.155172457324041	undirected	NA	NA
ACAP1	LTB	0.227505030551213	undirected	NA	NA
ACAP1	LYL1	0.131046577436823	undirected	NA	NA
ACAP1	MAP4K1	0.232245896737895	undirected	NA	NA
ACAP1	MAST3	0.0816917662208823	undirected	NA	NA
ACAP1	MAX	0.046012261927004	undirected	NA	NA
ACAP1	MEI1	0.154153998765363	undirected	NA	NA
ACAP1	MICB	0.03169741707876	undirected	NA	NA
ACAP1	MS4A1	0.25588137158052	undirected	NA	NA
ACAP1	MYO9B	0.0613655347454932	undirected	NA	NA
ACAP1	MZB1	0.136216676956877	undirected	NA	NA
ACAP1	NAGK	0.0431884621561817	undirected	NA	NA
ACAP1	NAPSB	0.13743079069056	undirected	NA	NA
ACAP1	NCR3	0.172567399266032	undirected	NA	NA
ACAP1	NFKB2	0.0374864745313473	undirected	NA	NA
ACAP1	NKG7	0.0603307208240336	undirected	NA	NA
ACAP1	NLRC3	0.183495085746791	undirected	NA	NA
ACAP1	NLRC5	0.0791390039758953	undirected	NA	NA
ACAP1	NLRP1	0.0573504861588337	undirected	NA	NA
ACAP1	NUB1	0.0556658354508422	undirected	NA	NA
ACAP1	ORAI2	0.0282867851230572	undirected	NA	NA
ACAP1	P2RY10	0.149029326420524	undirected	NA	NA
ACAP1	P2RY8	0.203816360520662	undirected	NA	NA
ACAP1	PAPLN	0.057394196542627	undirected	NA	NA
ACAP1	PARP12	0.0460860922537897	undirected	NA	NA
ACAP1	PDCD1	0.18039827175172	undirected	NA	NA
ACAP1	PIK3CD	0.149591113803022	undirected	NA	NA
ACAP1	PIM2	0.156702830956777	undirected	NA	NA
ACAP1	PLA2G2D	0.200451289551036	undirected	NA	NA
ACAP1	PLCG2	0.135191243231047	undirected	NA	NA
ACAP1	PLD4	0.0841949705842951	undirected	NA	NA
ACAP1	PLEKHO1	0.0884146080936485	undirected	NA	NA
ACAP1	POU2AF1	0.2082086199714	undirected	NA	NA
ACAP1	POU2F2	0.219603909468916	undirected	NA	NA
ACAP1	PPP1R16B	0.128820933495851	undirected	NA	NA
ACAP1	PPP1R18	0.0341994468641224	undirected	NA	NA
ACAP1	PRKCB	0.133876384647843	undirected	NA	NA
ACAP1	PSMB10	0.0442581818500946	undirected	NA	NA
ACAP1	PSMB9	0.0345576515396064	undirected	NA	NA
ACAP1	PSTPIP1	0.173937301568674	undirected	NA	NA
ACAP1	PTPN7	0.18482430222854	undirected	NA	NA
ACAP1	PTPRC	0.129426479862295	undirected	NA	NA
ACAP1	PYHIN1	0.127007503788447	undirected	NA	NA
ACAP1	RAB33A	0.103293360707923	undirected	NA	NA
ACAP1	RAC2	0.107018125180745	undirected	NA	NA
ACAP1	RASAL3	0.2386405460522	undirected	NA	NA
ACAP1	RASGRP2	0.159668577955727	undirected	NA	NA
ACAP1	RBP5	0.129698698108298	undirected	NA	NA
ACAP1	RCSD1	0.0881890186463135	undirected	NA	NA
ACAP1	RELT	0.071815935098396	undirected	NA	NA
ACAP1	RFX5	0.0411646955188644	undirected	NA	NA
ACAP1	RHOH	0.129596842141805	undirected	NA	NA
ACAP1	RNF166	0.12343702708305	undirected	NA	NA
ACAP1	RUNX3	0.118919806453472	undirected	NA	NA
ACAP1	SARDH	0.0574364632118894	undirected	NA	NA
ACAP1	SASH3	0.214112189998069	undirected	NA	NA
ACAP1	SELL	0.163803145765309	undirected	NA	NA
ACAP1	SEMA4D	0.0740946603167319	undirected	NA	NA
ACAP1	SH2D1A	0.118577802367726	undirected	NA	NA
ACAP1	SH2D2A	0.048633199443782	undirected	NA	NA
ACAP1	SIPA1	0.0571570978064179	undirected	NA	NA
ACAP1	SIRPG	0.184978401502509	undirected	NA	NA
ACAP1	SIT1	0.202684774605357	undirected	NA	NA
ACAP1	SLA2	0.143476178150251	undirected	NA	NA
ACAP1	SLAMF1	0.171906908370172	undirected	NA	NA
ACAP1	SLAMF6	0.186367634013228	undirected	NA	NA
ACAP1	SLAMF7	0.113977262489902	undirected	NA	NA
ACAP1	SLC25A45	0.0832098184342164	undirected	NA	NA
ACAP1	SMAP2	0.0971370825039643	undirected	NA	NA
ACAP1	SNX20	0.192817954859337	undirected	NA	NA
ACAP1	SP110	0.0705181360270166	undirected	NA	NA
ACAP1	SP140	0.149124009822641	undirected	NA	NA
ACAP1	STAP1	0.213940670450172	undirected	NA	NA
ACAP1	STAT1	0.0313705879837057	undirected	NA	NA
ACAP1	SUSD3	0.192711989027682	undirected	NA	NA
ACAP1	TAGAP	0.170462634832697	undirected	NA	NA
ACAP1	TAP1	0.0406996347317834	undirected	NA	NA
ACAP1	TAP2	0.0584861193672554	undirected	NA	NA
ACAP1	TAPBP	0.0406189690201822	undirected	NA	NA
ACAP1	TBC1D10C	0.224360832849326	undirected	NA	NA
ACAP1	TCF7	0.148306468240249	undirected	NA	NA
