nodeName	altName	nodeAttr[nodesPresent, ]
ACAP1	NA	pink
ADAM19	NA	pink
ADAMDEC1	NA	pink
AKNA	NA	pink
APOBEC3G	NA	pink
ARHGAP25	NA	pink
ARHGAP4	NA	pink
ARHGAP9	NA	pink
ARHGEF1	NA	pink
BANK1	NA	pink
BATF2	NA	pink
BLNK	NA	pink
BTN2A2	NA	pink
BTN3A1	NA	pink
BTN3A2	NA	pink
BTN3A3	NA	pink
CBLN3	NA	pink
CCDC88B	NA	pink
CCL21	NA	pink
CCL5	NA	pink
CCR5	NA	pink
CCR7	NA	pink
CCR8	NA	pink
CD180	NA	pink
CD19	NA	pink
CD2	NA	pink
CD22	NA	pink
CD247	NA	pink
CD27	NA	pink
CD37	NA	pink
CD38	NA	pink
CD3D	NA	pink
CD3E	NA	pink
CD3G	NA	pink
CD40LG	NA	pink
CD48	NA	pink
CD5	NA	pink
CD6	NA	pink
CD7	NA	pink
CD72	NA	pink
CD79A	NA	pink
CD79B	NA	pink
CD8A	NA	pink
CHMP7	NA	pink
CIITA	NA	pink
CORO1A	NA	pink
CPNE5	NA	pink
CR2	NA	pink
CTC1	NA	pink
CXCL10	NA	pink
CXCL9	NA	pink
CXCR3	NA	pink
CXCR4	NA	pink
CXCR6	NA	pink
CYTIP	NA	pink
DEF6	NA	pink
DENND1C	NA	pink
DENND2D	NA	pink
DERL3	NA	pink
DOCK2	NA	pink
DTX1	NA	pink
DUSP2	NA	pink
EAF2	NA	pink
EBI3	NA	pink
EOMES	NA	pink
EPSTI1	NA	pink
ETV7	NA	pink
FAM78A	NA	pink
FASLG	NA	pink
FCHO1	NA	pink
FCRL5	NA	pink
FCRLA	NA	pink
FNBP1	NA	pink
FOXP3	NA	pink
GAPT	NA	pink
GBP1	NA	pink
GBP2	NA	pink
GBP5	NA	pink
GIMAP2	NA	pink
GRAP2	NA	pink
GZMA	NA	pink
GZMB	NA	pink
GZMH	NA	pink
GZMK	NA	pink
HAPLN3	NA	pink
HCLS1	NA	pink
HCP5	NA	pink
HERPUD1	NA	pink
HLA-DOB	NA	pink
HSH2D	NA	pink
ICAM3	NA	pink
IFIH1	NA	pink
IGKV1D-8	NA	pink
IKZF1	NA	pink
IKZF3	NA	pink
IL10RA	NA	pink
IL12RB1	NA	pink
IL16	NA	pink
IL21R	NA	pink
IL2RA	NA	pink
IL2RB	NA	pink
IL2RG	NA	pink
IL4I1	NA	pink
INPP5D	NA	pink
IRF2	NA	pink
IRF4	NA	pink
IRF8	NA	pink
ISG20	NA	pink
ITGAL	NA	pink
ITGB7	NA	pink
JAK3	NA	pink
KIF21B	NA	pink
KLHL6	NA	pink
KLRB1	NA	pink
LAG3	NA	pink
LAP3	NA	pink
LAX1	NA	pink
LCK	NA	pink
LIMD2	NA	pink
LTB	NA	pink
LYL1	NA	pink
MAP4K1	NA	pink
MAST3	NA	pink
MAX	NA	pink
MEI1	NA	pink
MICB	NA	pink
MS4A1	NA	pink
MYO9B	NA	pink
MZB1	NA	pink
NAGK	NA	pink
NAPSB	NA	pink
NCR3	NA	pink
NFKB2	NA	pink
NKG7	NA	pink
NLRC3	NA	pink
NLRC5	NA	pink
NLRP1	NA	pink
NUB1	NA	pink
ORAI2	NA	pink
P2RY10	NA	pink
P2RY8	NA	pink
PAPLN	NA	pink
PARP12	NA	pink
PDCD1	NA	pink
PIK3CD	NA	pink
PIM2	NA	pink
PLA2G2D	NA	pink
PLCG2	NA	pink
PLD4	NA	pink
PLEKHO1	NA	pink
POU2AF1	NA	pink
POU2F2	NA	pink
PPP1R16B	NA	pink
PPP1R18	NA	pink
PRKCB	NA	pink
PSMB10	NA	pink
PSMB9	NA	pink
PSTPIP1	NA	pink
PTPN7	NA	pink
PTPRC	NA	pink
PYHIN1	NA	pink
RAB33A	NA	pink
RAC2	NA	pink
RASAL3	NA	pink
RASGRP2	NA	pink
RBP5	NA	pink
RCSD1	NA	pink
RELT	NA	pink
RFX5	NA	pink
RHOH	NA	pink
RNF166	NA	pink
RUNX3	NA	pink
SARDH	NA	pink
SASH3	NA	pink
SELL	NA	pink
SEMA4D	NA	pink
SH2D1A	NA	pink
SH2D2A	NA	pink
SIPA1	NA	pink
SIRPG	NA	pink
SIT1	NA	pink
SLA2	NA	pink
SLAMF1	NA	pink
SLAMF6	NA	pink
SLAMF7	NA	pink
SLC25A45	NA	pink
SMAP2	NA	pink
SNX20	NA	pink
SP110	NA	pink
SP140	NA	pink
STAP1	NA	pink
STAT1	NA	pink
SUSD3	NA	pink
TAGAP	NA	pink
TAP1	NA	pink
TAP2	NA	pink
TAPBP	NA	pink
TBC1D10C	NA	pink
TCF7	NA	pink
TCIRG1	NA	pink
TIGIT	NA	pink
TLR10	NA	pink
TMC8	NA	pink
TNFRSF13C	NA	pink
TNFRSF14	NA	pink
TNFRSF17	NA	pink
TNFRSF4	NA	pink
TNFRSF9	NA	pink
TNFSF13B	NA	pink
TRAF1	NA	pink
TRIM22	NA	pink
TRIM69	NA	pink
UBASH3A	NA	pink
UBE2L6	NA	pink
VCAM1	NA	pink
VPREB3	NA	pink
WAS	NA	pink
WIPF1	NA	pink
ZAP70	NA	pink
ZBP1	NA	pink
ZFYVE28	NA	pink
ZNF683	NA	pink
