p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SLPI,0,1.24581788364123,0.992,0.825,0,Epithelial_cells,SLPI
ELF3,0,1.20870354846482,0.983,0.696,0,Epithelial_cells,ELF3
WFDC2,0,1.15410809581421,0.969,0.707,0,Epithelial_cells,WFDC2
KRT8,0,1.04541323370939,0.968,0.638,0,Epithelial_cells,KRT8
KRT19,0,1.028544113986,0.951,0.611,0,Epithelial_cells,KRT19
PERP,0,1.0076425143266,0.975,0.707,0,Epithelial_cells,PERP
KRT18,0,0.989919442269916,0.943,0.557,0,Epithelial_cells,KRT18
TACSTD2,0,0.969839796446014,0.97,0.657,0,Epithelial_cells,TACSTD2
CXCL17,0,0.879511193538644,0.898,0.607,0,Epithelial_cells,CXCL17
SLC34A2,0,0.864118902498342,0.883,0.565,0,Epithelial_cells,SLC34A2
TSC22D1,0,0.847215020802292,0.97,0.654,0,Epithelial_cells,TSC22D1
CYB5A,0,0.816546857191262,0.956,0.701,0,Epithelial_cells,CYB5A
MUC1,0,0.802804192440501,0.838,0.609,0,Epithelial_cells,MUC1
DSTN,0,0.800359647007154,0.988,0.813,0,Epithelial_cells,DSTN
CLU,0,0.798097947424535,0.94,0.703,0,Epithelial_cells,CLU
NUCB2,0,0.774939606868503,0.938,0.647,0,Epithelial_cells,NUCB2
ID1,0,0.753781729155934,0.925,0.692,0,Epithelial_cells,ID1
TSTD1,0,0.746712112996986,0.959,0.726,0,Epithelial_cells,TSTD1
PRDX5,0,0.732331546397728,0.99,0.901,0,Epithelial_cells,PRDX5
HMGN3,0,0.72108802096557,0.976,0.767,0,Epithelial_cells,HMGN3
CD59,0,0.717093473178597,0.967,0.781,0,Epithelial_cells,CD59
NCOA7,0,0.710108441820899,0.934,0.767,0,Epithelial_cells,NCOA7
IFT57,0,0.702401792448594,0.906,0.603,0,Epithelial_cells,IFT57
ATPIF1,0,0.695470889505543,0.971,0.741,0,Epithelial_cells,ATPIF1
ODF2L,0,0.663870570441534,0.928,0.588,0,Epithelial_cells,ODF2L
SDC4,0,0.662235140764548,0.963,0.813,0,Epithelial_cells,SDC4
AQP3,0,0.660367309412023,0.906,0.666,0,Epithelial_cells,AQP3
SPINT2,0,0.636695758051623,0.95,0.71,0,Epithelial_cells,SPINT2
ALCAM,0,0.620090217157449,0.945,0.651,0,Epithelial_cells,ALCAM
GSTP1,0,0.544431813330717,0.999,0.97,0,Epithelial_cells,GSTP1
MARCKS,0,0.540171308211917,0.925,0.64,0,Epithelial_cells,MARCKS
IK,1.93032336421965e-306,0.593627112410056,0.916,0.605,3.8606467284393e-303,Epithelial_cells,IK
AKAP9,9.59025876865768e-295,0.638425696236186,0.952,0.663,1.91805175373154e-291,Epithelial_cells,AKAP9
HSPB11,8.45991725867147e-287,0.555168393530409,0.909,0.62,1.69198345173429e-283,Epithelial_cells,HSPB11
HIPK1,1.29294667647479e-285,0.498334886382539,0.907,0.669,2.58589335294959e-282,Epithelial_cells,HIPK1
TSPAN3,5.77947627235718e-285,0.575415126384522,0.918,0.693,1.15589525447144e-281,Epithelial_cells,TSPAN3
PGM2L1,4.77180765766724e-282,0.567175348369641,0.861,0.547,9.54361531533449e-279,Epithelial_cells,PGM2L1
ZKSCAN1,8.68430326092374e-281,0.474911596869061,0.884,0.675,1.73686065218475e-277,Epithelial_cells,ZKSCAN1
DNPH1,3.15593755171795e-278,0.600347351267858,0.919,0.607,6.3118751034359e-275,Epithelial_cells,DNPH1
PSENEN,2.69225644925049e-273,0.596209693931407,0.931,0.774,5.38451289850097e-270,Epithelial_cells,PSENEN
ABHD2,3.59381394305974e-273,0.4713837797907,0.898,0.716,7.18762788611948e-270,Epithelial_cells,ABHD2
LMO7,1.37467885156754e-266,0.663266867943032,0.822,0.575,2.74935770313509e-263,Epithelial_cells,LMO7
UBE2H,1.84266749237036e-263,0.516176079165861,0.898,0.614,3.68533498474072e-260,Epithelial_cells,UBE2H
PLXNB2,6.35391519760167e-258,0.488804843531011,0.883,0.7,1.27078303952033e-254,Epithelial_cells,PLXNB2
HECTD1,1.56331563082104e-254,0.439403530938304,0.894,0.674,3.12663126164208e-251,Epithelial_cells,HECTD1
EMP2,2.41951179158398e-252,0.611709984373293,0.819,0.514,4.83902358316796e-249,Epithelial_cells,EMP2
MGST1,1.28385565214282e-246,0.540719055506724,0.882,0.741,2.56771130428565e-243,Epithelial_cells,MGST1
CAPN2,1.56258408274434e-246,0.549936624524834,0.91,0.719,3.12516816548868e-243,Epithelial_cells,CAPN2
H2AFJ,7.16476360749071e-244,0.533631735618576,0.956,0.751,1.43295272149814e-240,Epithelial_cells,H2AFJ
SGMS2,3.78166452834427e-238,0.441303500443442,0.879,0.697,7.56332905668855e-235,Epithelial_cells,SGMS2
PRKAR1A,4.32806966133772e-233,0.487071389106087,0.953,0.822,8.65613932267544e-230,Epithelial_cells,PRKAR1A
F11R,1.42602676874844e-231,0.534902365656485,0.847,0.585,2.85205353749688e-228,Epithelial_cells,F11R
SLFN5,3.41060841701155e-230,0.387104905357793,0.819,0.529,6.82121683402309e-227,Epithelial_cells,SLFN5
CLDN7,1.96534709547833e-228,0.548783309789215,0.846,0.635,3.93069419095667e-225,Epithelial_cells,CLDN7
RARRES3,6.44463396039248e-227,0.497813040545439,0.904,0.588,1.2889267920785e-223,Epithelial_cells,RARRES3
UFC1,7.37574386720104e-226,0.537663728258314,0.942,0.733,1.47514877344021e-222,Epithelial_cells,UFC1
YBX3,9.75135255724299e-222,0.47649225704398,0.947,0.798,1.9502705114486e-218,Epithelial_cells,YBX3
MTRNR2L8,4.05290371734339e-221,0.417271522259732,0.966,0.909,8.10580743468678e-218,Epithelial_cells,MTRNR2L8
CISD1,3.18151958263247e-219,0.327672490325625,0.802,0.467,6.36303916526495e-216,Epithelial_cells,CISD1
PCM1,4.72696971638902e-219,0.454439305637062,0.909,0.655,9.45393943277805e-216,Epithelial_cells,PCM1
TRIM56,2.05978101285434e-217,0.412072472306736,0.867,0.659,4.11956202570869e-214,Epithelial_cells,TRIM56
ATP2A2,1.63699794826648e-215,0.496433422765468,0.925,0.741,3.27399589653296e-212,Epithelial_cells,ATP2A2
DNAJC10,1.82508540668342e-214,0.330492159496745,0.834,0.569,3.65017081336685e-211,Epithelial_cells,DNAJC10
TNRC6B,3.62609168528173e-210,0.417864289824894,0.891,0.577,7.25218337056346e-207,Epithelial_cells,TNRC6B
GPRC5A,2.5775875774258e-208,0.641301187477265,0.775,0.623,5.1551751548516e-205,Epithelial_cells,GPRC5A
CFDP1,2.31474095476793e-205,0.397058637788864,0.888,0.592,4.62948190953586e-202,Epithelial_cells,CFDP1
UBL3,6.46415130939084e-205,0.373108869506012,0.883,0.62,1.29283026187817e-201,Epithelial_cells,UBL3
PDLIM1,9.51697371069225e-204,0.424392305171267,0.922,0.756,1.90339474213845e-200,Epithelial_cells,PDLIM1
ANXA4,4.56522634570779e-203,0.436894954284664,0.913,0.761,9.13045269141559e-200,Epithelial_cells,ANXA4
TSPAN13,3.48018988587429e-202,0.553584857633552,0.757,0.502,6.96037977174859e-199,Epithelial_cells,TSPAN13
AES,3.75358002358728e-198,0.43463884130276,0.913,0.766,7.50716004717456e-195,Epithelial_cells,AES
ZNF106,1.01155697968168e-193,0.366425409917616,0.877,0.707,2.02311395936336e-190,Epithelial_cells,ZNF106
SEPP1,2.70144791188657e-189,0.45561805530847,0.783,0.552,5.40289582377314e-186,Epithelial_cells,SEPP1
ANXA2,1.54218992298854e-185,0.360886453736531,0.996,0.947,3.08437984597708e-182,Epithelial_cells,ANXA2
ATP1B1,7.43466678035737e-185,0.46076976318245,0.894,0.778,1.48693335607147e-181,Epithelial_cells,ATP1B1
DYNLT1,3.44562291801249e-180,0.454774363609288,0.948,0.779,6.89124583602497e-177,Epithelial_cells,DYNLT1
RB1CC1,5.16496757437247e-173,0.367463886466482,0.878,0.641,1.03299351487449e-169,Epithelial_cells,RB1CC1
BAIAP2,8.60496171648698e-170,0.470704073249308,0.827,0.632,1.7209923432974e-166,Epithelial_cells,BAIAP2
RPA3,4.11482316326577e-169,0.384489495949156,0.897,0.676,8.22964632653154e-166,Epithelial_cells,RPA3
HDLBP,1.65045452522047e-167,0.438176701620288,0.889,0.696,3.30090905044094e-164,Epithelial_cells,HDLBP
CYR61,9.85322963346868e-167,0.569906341574952,0.73,0.489,1.97064592669374e-163,Epithelial_cells,CYR61
GOLGB1,5.34759883518672e-166,0.322860475379795,0.855,0.513,1.06951976703734e-162,Epithelial_cells,GOLGB1
PLAC8,5.68599560448452e-163,0.38957077736848,0.93,0.822,1.1371991208969e-159,Epithelial_cells,PLAC8
TMEM173,3.06598349589886e-157,0.342342565318132,0.893,0.695,6.13196699179772e-154,Epithelial_cells,TMEM173
CD9,1.02138787036589e-156,0.402773738347502,0.983,0.862,2.04277574073179e-153,Epithelial_cells,CD9
PPP1R7,5.19392340360283e-156,0.289274534301576,0.847,0.591,1.03878468072057e-152,Epithelial_cells,PPP1R7
