p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
SPINK1,0,1.88092017722533,0.98,0.132,0,0,SPINK1
SCGB3A2,0,1.70627929828705,0.961,0.047,0,0,SCGB3A2
NAPSA,0,1.57605161221044,0.997,0.148,0,0,NAPSA
HOPX,0,1.55318415338061,1,0.238,0,0,HOPX
PIGR,0,1.54962895019139,0.975,0.206,0,0,PIGR
SFTPB,0,1.54930768092142,0.971,0.223,0,0,SFTPB
ADGRF5,0,1.42732671378137,0.926,0.02,0,0,ADGRF5
CEACAM6,0,1.37414189283244,0.921,0.123,0,0,CEACAM6
SFTA2,0,1.33926379138102,0.984,0.119,0,0,SFTA2
AQP3,0,1.26615415525463,0.986,0.322,0,0,AQP3
ELF3,0,1.24077774230792,0.995,0.301,0,0,ELF3
SLC34A2,0,1.19277100268137,0.961,0.216,0,0,SLC34A2
GPRC5A,0,1.17123666626106,0.956,0.197,0,0,GPRC5A
SFTA3,0,1.16641014454816,0.914,0.082,0,0,SFTA3
SMIM22,0,1.15466588237601,0.956,0.139,0,0,SMIM22
WFDC2,0,1.15435598571129,0.974,0.29,0,0,WFDC2
HSPA6,0,1.13725395160428,0.993,0.474,0,0,HSPA6
EFNA1,0,1.12053515767902,0.9,0.097,0,0,EFNA1
CIT,0,1.11252886978817,0.783,0.012,0,0,CIT
EPCAM,0,1.10905179644843,0.932,0.149,0,0,EPCAM
SOX4,0,1.09949549278501,0.953,0.267,0,0,SOX4
CLDN4,0,1.06516258198959,0.987,0.243,0,0,CLDN4
KRT18,0,1.05696642977054,0.966,0.257,0,0,KRT18
MSLN,0,1.04765461754562,0.684,0.01,0,0,MSLN
SERPINH1,0,1.04736175592874,0.967,0.357,0,0,SERPINH1
S100A13,0,1.03678850163922,0.979,0.352,0,0,S100A13
CRABP2,0,1.00903713793351,0.739,0.015,0,0,CRABP2
SUSD2,0,1.00661519089041,0.76,0.003,0,0,SUSD2
EMP2,0,0.992266143882019,0.924,0.225,0,0,EMP2
MS4A15,0,0.990648743308706,0.689,0.006,0,0,MS4A15
C16orf89,0,0.980855683831821,0.734,0.04,0,0,C16orf89
TMC5,0,0.975203201689014,0.863,0.122,0,0,TMC5
TMPRSS2,0,0.973159246988892,0.783,0.054,0,0,TMPRSS2
SDC1,0,0.967477310444821,0.732,0.027,0,0,SDC1
MALL,0,0.955422388638271,0.798,0.097,0,0,MALL
PRSS8,0,0.954845800034251,0.767,0.018,0,0,PRSS8
CD24,0,0.951140422667941,0.863,0.188,0,0,CD24
MDK,0,0.942327379407411,0.778,0.122,0,0,MDK
CXCL14,0,0.939115887087057,0.422,0.01,0,0,CXCL14
S100A16,0,0.938386614286845,0.803,0.064,0,0,S100A16
STEAP4,0,0.927852707229872,0.761,0.066,0,0,STEAP4
MGST1,0,0.92742617776937,0.965,0.311,0,0,MGST1
S100A14,0,0.908782494834533,0.818,0.113,0,0,S100A14
TRAM1,0,0.902643162861216,0.938,0.402,0,0,TRAM1
DPP4,0,0.901005841202771,0.692,0.005,0,0,DPP4
KRT8,0,0.892148133061889,0.945,0.247,0,0,KRT8
FOLR1,0,0.891532284814168,0.78,0.091,0,0,FOLR1
CRYM,0,0.889687602649271,0.696,0.006,0,0,CRYM
CYR61,0,0.88466331034967,0.803,0.169,0,0,CYR61
ABCC3,0,0.876902228936539,0.784,0.077,0,0,ABCC3
EPS8,0,0.8719654784658,0.818,0.159,0,0,EPS8
CLDN3,0,0.862121191122946,0.791,0.098,0,0,CLDN3
NKX2-1,0,0.860673153029026,0.704,0.005,0,0,NKX2-1
TSPAN4,0,0.858878529137066,0.835,0.21,0,0,TSPAN4
MAL2,0,0.852625853186044,0.779,0.124,0,0,MAL2
GOLM1,0,0.847493237070816,0.731,0.084,0,0,GOLM1
B3GNT7,0,0.834242939136245,0.774,0.141,0,0,B3GNT7
LMO3,0,0.827639427041399,0.708,0.048,0,0,LMO3
TFPI2,0,0.82030329432399,0.517,0.004,0,0,TFPI2
RND1,0,0.80602631159125,0.643,0.068,0,0,RND1
TFPI,0,0.803950775856028,0.691,0.063,0,0,TFPI
TSPAN13,0,0.795205397953465,0.785,0.167,0,0,TSPAN13
MBIP,0,0.794396343659498,0.746,0.081,0,0,MBIP
ITGA3,0,0.778524506582305,0.715,0.064,0,0,ITGA3
BCAM,0,0.776439965499323,0.676,0.04,0,0,BCAM
OCLN,0,0.770625591680847,0.676,0.049,0,0,OCLN
KIF22,0,0.764653261588439,0.716,0.102,0,0,KIF22
ZDHHC9,0,0.762691768114199,0.665,0.028,0,0,ZDHHC9
ATP11A,0,0.762149019696589,0.74,0.124,0,0,ATP11A
TNNT1,0,0.760944464361333,0.633,0.018,0,0,TNNT1
LAPTM4B,0,0.757654196881482,0.662,0.061,0,0,LAPTM4B
DLC1,0,0.744414109308151,0.633,0.037,0,0,DLC1
IGFBP4,0,0.743712949647614,0.674,0.057,0,0,IGFBP4
PTPN13,0,0.7406267691239,0.606,0.034,0,0,PTPN13
C1orf116,0,0.734502119317721,0.59,0.003,0,0,C1orf116
SELENBP1,0,0.703393323409903,0.656,0.074,0,0,SELENBP1
FMO5,0,0.697502736003534,0.52,0.006,0,0,FMO5
TMEM159,0,0.697484104096448,0.672,0.083,0,0,TMEM159
HSD17B6,0,0.695635707064562,0.509,0.002,0,0,HSD17B6
GGTLC1,0,0.690479824531698,0.546,0.004,0,0,GGTLC1
ERBB3,0,0.6885079304907,0.661,0.07,0,0,ERBB3
CTSE,0,0.683228969404415,0.465,0.002,0,0,CTSE
SLC1A7,0,0.682968161887345,0.51,0.003,0,0,SLC1A7
FLRT3,0,0.678775822901302,0.512,0.002,0,0,FLRT3
RASD1,0,0.677293537508391,0.569,0.032,0,0,RASD1
MUC21,0,0.676810577480729,0.478,0.003,0,0,MUC21
SLC40A1,0,0.664928629160705,0.603,0.056,0,0,SLC40A1
COL1A1,0,0.658717628371532,0.542,0.021,0,0,COL1A1
RHOBTB3,0,0.648913068507936,0.573,0.031,0,0,RHOBTB3
ABCA3,0,0.641784936099158,0.495,0.004,0,0,ABCA3
PRKCA,0,0.640909533766846,0.57,0.028,0,0,PRKCA
