p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,1.88092017722533,0.98,0.132,0,0,SPINK1
2,0,1.70627929828705,0.961,0.047,0,0,SCGB3A2
3,0,1.57605161221044,0.997,0.148,0,0,NAPSA
4,0,1.55318415338061,1,0.238,0,0,HOPX
5,0,1.54962895019139,0.975,0.206,0,0,PIGR
6,0,1.54930768092142,0.971,0.223,0,0,SFTPB
7,0,1.42732671378137,0.926,0.02,0,0,ADGRF5
8,0,1.37414189283244,0.921,0.123,0,0,CEACAM6
9,0,1.33926379138102,0.984,0.119,0,0,SFTA2
10,0,1.26615415525463,0.986,0.322,0,0,AQP3
11,0,1.24077774230792,0.995,0.301,0,0,ELF3
12,0,1.19277100268137,0.961,0.216,0,0,SLC34A2
13,0,1.17123666626106,0.956,0.197,0,0,GPRC5A
14,0,1.16641014454816,0.914,0.082,0,0,SFTA3
15,0,1.15466588237601,0.956,0.139,0,0,SMIM22
16,0,1.15435598571129,0.974,0.29,0,0,WFDC2
17,0,1.13725395160428,0.993,0.474,0,0,HSPA6
18,0,1.12053515767902,0.9,0.097,0,0,EFNA1
19,0,1.11252886978817,0.783,0.012,0,0,CIT
20,0,1.10905179644843,0.932,0.149,0,0,EPCAM
21,0,1.09949549278501,0.953,0.267,0,0,SOX4
22,0,1.06516258198959,0.987,0.243,0,0,CLDN4
23,0,1.05696642977054,0.966,0.257,0,0,KRT18
24,0,1.04765461754562,0.684,0.01,0,0,MSLN
25,0,1.04736175592874,0.967,0.357,0,0,SERPINH1
26,0,1.03678850163922,0.979,0.352,0,0,S100A13
27,0,1.00903713793351,0.739,0.015,0,0,CRABP2
28,0,1.00661519089041,0.76,0.003,0,0,SUSD2
29,0,0.992266143882019,0.924,0.225,0,0,EMP2
30,0,0.990648743308706,0.689,0.006,0,0,MS4A15
31,0,0.729965097607899,0.374,0.002,0,1,SDS
32,1.25389327516498e-263,0.781216679804363,0.555,0.066,1.25314093919988e-259,1,CD163
33,7.67798650055871e-241,0.938928203794621,0.783,0.179,7.67337970865837e-237,1,HLA-DQA2
34,9.82869651684862e-228,0.826022251663618,0.646,0.125,9.82279929893851e-224,1,RNASE6
35,3.48091170349021e-215,0.938785663474851,0.857,0.258,3.47882315646812e-211,1,HLA-DRB5
36,2.91120146655386e-210,0.91075527012315,0.992,0.633,2.90945474567393e-206,1,HLA-DPB1
37,6.35604051726941e-205,1.00194051158536,0.822,0.252,6.35222689295905e-201,1,GPR183
38,1.55062822437953e-200,0.904961305577158,0.783,0.223,1.5496978474449e-196,1,MS4A6A
39,4.22542977111858e-199,0.711276913617412,0.57,0.113,4.22289451325591e-195,1,KYNU
40,2.21501063452149e-198,0.836819704221923,0.995,0.591,2.21368162814078e-194,1,SRGN
41,1.99684472482495e-194,0.92524100794348,0.498,0.076,1.99564661799005e-190,1,EREG
42,9.43596213981411e-176,0.702858946138237,0.998,0.824,9.43030056253022e-172,1,HLA-DRA
43,2.42364431022781e-161,0.822643555580512,0.89,0.321,2.42219012364167e-157,1,AIF1
44,5.18679241595434e-160,0.738972366484375,0.54,0.124,5.18368034050477e-156,1,SLC16A10
45,2.42113622041935e-156,0.849345675038755,0.839,0.379,2.4196835386871e-152,1,PLAUR
46,2.01161817321378e-147,0.830737651576906,0.924,0.36,2.01041120230985e-143,1,FCER1G
47,1.9581857366012e-144,0.757654869773535,0.883,0.337,1.95701082515924e-140,1,LST1
48,1.70042253813211e-141,0.704702854015446,0.791,0.339,1.69940228460923e-137,1,ITGB2
49,3.19143658067425e-140,0.806174297413749,0.878,0.382,3.18952171872585e-136,1,HLA-DQA1
50,6.47790885342046e-139,0.715420004953681,0.99,0.64,6.47402210810841e-135,1,HLA-DPA1
51,2.47657009087566e-138,0.711734677347481,0.58,0.174,2.47508414882113e-134,1,C5AR1
52,1.03314936827558e-136,0.725724062161873,0.727,0.325,1.03252947865462e-132,1,RAB31
53,2.19407488994163e-130,1.03316335226912,0.628,0.209,2.19275844500767e-126,1,G0S2
54,1.42316116452458e-128,0.686806754397141,0.766,0.327,1.42230726782587e-124,1,HLA-DMB
55,1.57548373740809e-126,0.853657185007278,0.924,0.537,1.57453844716565e-122,1,LYZ
56,4.24915309075086e-126,0.888157333565172,0.982,0.429,4.24660359889641e-122,1,TYROBP
57,8.81825663032562e-126,0.702798838798292,0.83,0.328,8.81296567634743e-122,1,C1orf162
58,2.40807212566279e-125,0.690902546414747,0.928,0.549,2.4066272823874e-121,1,HLA-DQB1
59,2.02610062841778e-99,0.739445706015779,0.601,0.251,2.02488496804073e-95,1,THBS1
60,1.78570237742522e-77,0.71312201672474,0.684,0.311,1.78463095599876e-73,1,C1QA
61,0,1.43783036269459,0.918,0.19,0,2,IL7R
62,0,1.00006469957512,0.594,0.034,0,2,CD2
63,0,0.960784859671372,0.594,0.02,0,2,CD3D
64,0,0.881296524316186,0.484,0.025,0,2,TRBC2
65,0,0.848205486012422,0.528,0.025,0,2,SPOCK2
66,0,0.812041334404487,0.482,0.023,0,2,TRAC
67,0,0.736761367758946,0.456,0.013,0,2,CD3E
68,2.91196578839809e-280,1.04188175848843,0.639,0.077,2.91021860892505e-276,2,LTB
69,4.05108746878631e-272,0.909148730449014,0.544,0.05,4.04865681630504e-268,2,CD7
70,6.52488944339889e-254,1.0850282561986,0.831,0.197,6.52097450973285e-250,2,RPS4Y1
71,1.6774346371747e-252,1.00118186625017,0.444,0.03,1.67642817639239e-248,2,KLRB1
72,4.91930727366401e-242,1.19655369005746,0.964,0.379,4.91635568929981e-238,2,CXCR4
73,4.05117130551382e-238,0.765057428420822,0.406,0.025,4.04874060273052e-234,2,TRBC1
74,8.5041465224784e-228,0.903909067549406,0.62,0.107,8.49904403456491e-224,2,RORA
75,1.08146447272024e-216,0.765718501681991,0.976,0.769,1.08081559403661e-212,2,SARAF
76,2.55853988245365e-195,0.846337472607888,0.582,0.101,2.55700475852418e-191,2,RHOH
77,4.4634381932869e-186,1.00281093086277,0.93,0.446,4.46076013037093e-182,2,CREM
78,5.02643048823385e-184,1.03371819460338,0.867,0.365,5.02341462994091e-180,2,BIRC3
79,9.75711275714295e-179,0.819360494591141,0.944,0.717,9.75125848948866e-175,2,TSC22D3
80,4.20637904714591e-149,0.83100307187987,0.45,0.079,4.20385521971762e-145,2,BATF
81,7.88046231108907e-148,0.730484893560796,0.536,0.125,7.87573403370242e-144,2,PIK3IP1
82,1.17958105176133e-144,0.715663681034339,0.484,0.084,1.17887330313027e-140,2,CCR7
83,5.53117158094315e-133,0.813659019957026,0.725,0.283,5.52785287799459e-129,2,ISG20
84,2.29210224136528e-130,0.794010829046226,0.697,0.248,2.29072698002046e-126,2,CYTIP
85,3.45404214981282e-129,0.802165679705263,0.777,0.432,3.45196972452293e-125,2,PPP1R2
86,3.89769369471851e-117,0.7171954769152,0.661,0.226,3.89535507850168e-113,2,CD48
87,8.06781822120056e-113,0.730602625428534,0.677,0.286,8.06297753026784e-109,2,STK4
88,1.39770304488811e-110,0.718717821400233,0.659,0.296,1.39686442306118e-106,2,LEPROTL1
89,2.45458104157591e-107,0.853603747389833,0.775,0.333,2.45310829295096e-103,2,RGS1
90,9.71769678524555e-100,0.715009542828935,0.759,0.397,9.7118661671744e-96,2,TNFAIP3
91,0,1.87562321152636,0.97,0.09,0,3,FABP4
92,0,1.54748899868545,0.95,0.066,0,3,INHBA
93,0,1.42605029904893,0.987,0.14,0,3,MSR1
94,0,1.40893294851362,0.97,0.122,0,3,MARCO
95,0,1.21961611779006,0.912,0.127,0,3,MCEMP1
96,8.91038839580345e-303,0.956306741629379,0.749,0.077,8.90504216276597e-299,3,LPL
97,1.69980668421952e-257,1.57335170172895,1,0.33,1.69878680020899e-253,3,APOC1
98,5.74430698877039e-251,1.04360356344912,0.882,0.17,5.74086040457713e-247,3,LINC01272
99,4.82032233904117e-249,1.0974000317135,0.937,0.209,4.81743014563774e-245,3,MRC1
100,7.96613037415805e-247,1.13176245066638,0.95,0.244,7.96135069593356e-243,3,ACP5
101,6.38288424977374e-246,0.974387763525954,0.877,0.158,6.37905451922388e-242,3,GPNMB
102,9.18872814530318e-238,1.0378941937534,0.852,0.183,9.183214908416e-234,3,TGM2
103,1.49628581199954e-229,1.19689940217719,0.987,0.407,1.49538804051235e-225,3,CD52
104,8.06324311332998e-225,0.946025407545106,0.865,0.202,8.05840516746198e-221,3,GLIPR2
105,3.9921420593182e-210,0.927890145908952,0.694,0.107,3.98974677408261e-206,3,RETN
106,9.0603658739175e-203,1.02793241520853,0.96,0.279,9.05492965439315e-199,3,MS4A7
107,1.17002973486819e-198,1.0043607048429,0.98,0.287,1.16932771702727e-194,3,OLR1
108,3.28342963830353e-197,1.04477382072889,0.967,0.318,3.28145958052055e-193,3,FABP5
109,1.34717281887631e-196,0.930842433772442,0.922,0.245,1.34636451518499e-192,3,SLC11A1
110,4.99787024255696e-196,0.938748304816011,0.995,0.24,4.99487152041143e-192,3,SCGB3A1
111,1.62265565803749e-187,0.911168959769418,0.752,0.158,1.62168206464267e-183,3,THBD
112,1.44352796868665e-184,0.96849533220886,0.965,0.34,1.44266185190543e-180,3,C1orf162
113,3.06986638520167e-184,1.16350189135621,0.99,0.301,3.06802446537055e-180,3,C1QA
114,4.86604301780842e-184,1.1156616863638,0.94,0.246,4.86312339199773e-180,3,C1QB
115,4.68228323107343e-183,0.991219139900406,0.867,0.285,4.67947386113479e-179,3,GCHFR
