p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
HLA-DRB5,1.21823502167205e-39,0.757658974474464,0.992,0.57,1.21750408065905e-35,0,HLA-DRB5
FABP4,2.18819270420198e-33,0.816090702868772,0.968,0.521,2.18687978857946e-29,0,FABP4
APOC1,2.7736199325644e-28,0.403587806551534,1,0.893,2.77195576060486e-24,0,APOC1
MARCO,3.10579873792475e-28,0.58065650632026,0.984,0.65,3.103935258682e-24,0,MARCO
SCGB3A1,1.05681625714018e-25,0.683933609888408,1,0.467,1.0561821673859e-21,0,SCGB3A1
CD52,5.56258898234293e-25,0.418229198241875,0.984,0.86,5.55925142895352e-21,0,CD52
HLA-DQA2,6.01606044610157e-24,0.606798471913926,0.887,0.433,6.01245080983391e-20,0,HLA-DQA2
INHBA,1.08120913800909e-22,0.622998045669921,0.935,0.505,1.08056041252628e-18,0,INHBA
SCGB1A1,3.52743166050677e-21,0.577799728039474,0.887,0.403,3.52531520151047e-17,0,SCGB1A1
PRSS21,3.6465449821958e-20,0.462931620330589,0.476,0.143,3.64435705520648e-16,0,PRSS21
LGALS3,1.89815233827729e-19,0.300274302600382,0.976,0.916,1.89701344687432e-15,0,LGALS3
MSR1,2.71458788193261e-19,0.514628311004098,0.992,0.645,2.71295912920345e-15,0,MSR1
CARD16,1.06638964914218e-17,0.431300640211684,0.839,0.572,1.0657498153527e-13,0,CARD16
C1QA,1.11536827561462e-17,0.366848623212051,1,0.817,1.11469905464926e-13,0,C1QA
PCOLCE2,1.91009355367264e-16,0.383645977419872,0.452,0.14,1.90894749754044e-12,0,PCOLCE2
TXN,2.24936742472297e-16,0.29341103711149,0.944,0.852,2.24801780426813e-12,0,TXN
CPE,8.81877457355743e-16,0.304464143174066,0.298,0.07,8.8134833088133e-12,0,CPE
SERPING1,1.48062809263853e-15,0.490932665045626,0.774,0.426,1.47973971578295e-11,0,SERPING1
MT2A,1.49608122463653e-15,0.520521464938091,0.976,0.717,1.49518357590174e-11,0,MT2A
CD9,1.6816684757889e-15,0.391074124059394,0.935,0.73,1.68065947470342e-11,0,CD9
FABP5,5.93109625413183e-15,0.343505809577595,0.984,0.832,5.92753759637935e-11,0,FABP5
S100A9,8.55588446460883e-15,0.343618967331837,0.96,0.822,8.55075093393006e-11,0,S100A9
MGST3,2.33675168503104e-14,0.36521276198586,0.863,0.686,2.33534963402002e-10,0,MGST3
CYP27A1,2.74392354777061e-14,0.424581714692549,0.79,0.46,2.74227719364195e-10,0,CYP27A1
RPS27L,4.41025900877585e-14,0.282229815233879,0.944,0.861,4.40761285337058e-10,0,RPS27L
GSTO1,1.67175053698264e-13,0.298875036278212,0.935,0.804,1.67074748666045e-09,0,GSTO1
CRIP1,3.49310285079399e-13,0.407028248727075,0.798,0.48,3.49100698908351e-09,0,CRIP1
CD81,1.03632910171916e-12,0.307926197856788,0.935,0.763,1.03570730425812e-08,0,CD81
MCEMP1,5.43959726389797e-12,0.366719606201729,0.935,0.689,5.43633350553964e-08,0,MCEMP1
S100P,7.81041746352087e-12,0.329124133201194,0.323,0.105,7.80573121304276e-08,0,S100P
CTSC,8.14701535782957e-12,0.260417496950065,0.984,0.889,8.14212714861487e-08,0,CTSC
PPARG,3.25881688241046e-11,0.379723302530043,0.734,0.388,3.25686159228102e-07,0,PPARG
PNPLA6,5.44487649459821e-11,0.368082423162898,0.629,0.345,5.44160956870145e-07,0,PNPLA6
IGFBP2,1.04870586986406e-10,0.285492285291919,0.258,0.074,1.04807664634214e-06,0,IGFBP2
ACP5,1.14465455192527e-10,0.271043518770912,0.944,0.825,1.14396775919412e-06,0,ACP5
TNNI2,1.16026155485833e-10,0.346889328265389,0.484,0.215,1.15956539792542e-06,0,TNNI2
ARRDC4,1.16453530089252e-10,0.298262949670527,0.387,0.143,1.16383657971199e-06,0,ARRDC4
APOE,1.27205987315934e-10,0.399872248314446,0.823,0.534,1.27129663723545e-06,0,APOE
GLIPR2,1.49262492146403e-10,0.302078137562358,0.871,0.713,1.49172934651115e-06,0,GLIPR2
MTRNR2L8,1.69886715032124e-10,0.390176601477035,0.726,0.45,1.69784783003105e-06,0,MTRNR2L8
TRMT112,2.01074077002046e-10,0.263173370349254,0.847,0.717,2.00953432555845e-06,0,TRMT112
SPOCD1,2.59446430294427e-10,0.270308378262758,0.347,0.123,2.5929076243625e-06,0,SPOCD1
RETN,5.74382678335573e-10,0.399561124146337,0.782,0.558,5.74038048728572e-06,0,RETN
ALDH1A1,7.90533516453965e-10,0.339718934084946,0.565,0.268,7.90059196344093e-06,0,ALDH1A1
LAMP1,1.33045849927186e-09,0.297556534057874,0.823,0.637,1.32966022417229e-05,0,LAMP1
RTN4,2.09466635307544e-09,0.252090466589206,0.944,0.779,2.0934095532636e-05,0,RTN4
LTA4H,3.34821407680081e-09,0.282927082254722,0.855,0.686,3.34620514835473e-05,0,LTA4H
MT1G,3.35226565703081e-09,0.458389505376468,0.387,0.162,3.35025429763659e-05,0,MT1G
NDUFB1,3.6361281220111e-09,0.250770993622945,0.839,0.743,3.6339464451379e-05,0,NDUFB1
CES1,5.28867215474655e-09,0.387614021386473,0.661,0.395,5.2854989514537e-05,0,CES1
SLC15A3,5.52970921107494e-09,0.311273491854693,0.556,0.301,5.5263913855483e-05,0,SLC15A3
VMO1,6.25111042996009e-09,0.315584317455385,0.492,0.23,6.24735976370212e-05,0,VMO1
S100A8,1.03174506411462e-08,0.359705095458069,0.774,0.528,0.000103112601707615,0,S100A8
C1QC,1.04244148138753e-08,0.32891604169037,0.96,0.715,0.00010418160164987,0,C1QC
MACC1,1.39206950767524e-08,0.296209182877021,0.395,0.175,0.000139123426597064,0,MACC1
GCHFR,1.4420985255526e-08,0.316299948286022,0.879,0.687,0.000144123326643727,0,GCHFR
C1QB,1.53010761335965e-08,0.303380866849141,0.935,0.771,0.000152918954879163,0,C1QB
MT-ND4L,1.55562750817319e-08,0.285055409169947,0.887,0.732,0.000155469413166828,0,MT-ND4L
HPGD,2.40632234366494e-08,0.250320498361016,0.323,0.129,0.000240487855025874,0,HPGD
RBP4,3.53612157078805e-08,0.343610422555652,0.613,0.339,0.000353399989784558,0,RBP4
NUPR1,4.69904345115396e-08,0.344953819841503,0.766,0.54,0.000469622402508327,0,NUPR1
CA2,8.40981992536938e-08,0.282346773980379,0.452,0.223,0.000840477403341416,0,CA2
SCD,1.00520205767457e-07,0.339971104609668,0.629,0.384,0.00100459893643996,0,SCD
BCL2A1,1.11769286958397e-07,0.275807030826623,0.774,0.609,0.00111702225386222,0,BCL2A1
PDLIM1,1.56405035467923e-07,0.287652763317313,0.556,0.299,0.00156311192446642,0,PDLIM1
GPD1,1.78180887990329e-07,0.295997851249721,0.548,0.291,0.00178073979457535,0,GPD1
DYNLRB1,1.81272914955541e-07,0.252035040173314,0.774,0.626,0.00181164151206568,0,DYNLRB1
TRPV2,1.82916827982851e-07,0.280902294443576,0.468,0.225,0.00182807077886061,0,TRPV2
JAML,2.49598194349296e-07,0.293418727677861,0.629,0.403,0.00249448435432686,0,JAML
MT1X,2.56557900178908e-07,0.406273471005649,0.637,0.409,0.002564039654388,0,MT1X
MT1E,3.47852875363011e-07,0.391504840575238,0.492,0.275,0.00347644163637793,0,MT1E
HCST,3.68976437662866e-07,0.253975739263042,0.831,0.711,0.00368755051800269,0,HCST
MNDA,4.27787222254458e-07,0.258028816931962,0.75,0.633,0.00427530549921105,0,MNDA
GDF15,6.4374819750554e-07,0.31648434532507,0.266,0.116,0.00643361948587037,0,GDF15
SEPT11,6.4583181572106e-07,0.256287543656107,0.54,0.29,0.00645444316631627,0,SEPT11
SNX10,6.66702546973065e-07,0.259073911805702,0.782,0.61,0.00666302525444881,0,SNX10
ABCG1,7.81079520748345e-07,0.293368505910801,0.516,0.271,0.00780610873035896,0,ABCG1
S100A13,9.09741027593256e-07,0.273021186981153,0.726,0.541,0.009091951829767,0,S100A13
RNF149,1.04565246336678e-06,0.256578213846652,0.734,0.537,0.0104502507188876,0,RNF149
SPARC,1.34551998756225e-06,0.266741911042392,0.403,0.203,0.0134471267556971,0,SPARC
BHLHE41,1.87942895319246e-06,0.253801041429109,0.508,0.259,0.0187830129582054,0,BHLHE41
LRP1,2.30236286779192e-06,0.264365807329779,0.621,0.391,0.0230098145007124,0,LRP1
TGM2,2.69418361709545e-06,0.280472730777733,0.831,0.598,0.0269256710692519,0,TGM2
PHLDA3,2.86894598845331e-06,0.2650935138159,0.508,0.28,0.0286722462086024,0,PHLDA3
NCEH1,4.50431067146408e-06,0.264807555812067,0.565,0.354,0.045016080850612,0,NCEH1
CCL18,4.62480615532511e-06,0.310446515686383,0.403,0.21,0.0462203127163191,0,CCL18
STOM,6.15713041010187e-06,0.252689264836266,0.75,0.606,0.061534361318558,0,STOM
MIR3945HG,2.407089278017e-05,0.260361313541916,0.548,0.324,0.240564502445019,0,MIR3945HG
MGST1,5.42335718390444e-05,0.262000161821805,0.5,0.359,0.542010316959409,0,MGST1
MIR3945HG1,2.77544647983563e-24,0.631548235610251,0.748,0.295,2.77378121194773e-20,1,MIR3945HG
SCGB3A11,7.65281525812622e-23,0.634240025705432,0.984,0.47,7.64822356897134e-19,1,SCGB3A1
PPDPF,5.45092372860228e-21,0.350311086038297,0.967,0.837,5.44765317436512e-17,1,PPDPF
SCGB1A11,1.67001866817559e-20,0.55376241753318,0.902,0.401,1.66901665697469e-16,1,SCGB1A1
CD521,2.38984479334788e-17,0.373621788843789,0.992,0.859,2.38841088647187e-13,1,CD52
TPTEP1,4.25570722258967e-17,0.332500896240719,0.35,0.086,4.25315379825612e-13,1,TPTEP1
SPOCD11,1.02197346034914e-16,0.402597338723909,0.407,0.114,1.02136027627293e-12,1,SPOCD1
FAM89A,2.66938358124159e-16,0.370994600920673,0.439,0.138,2.66778195109284e-12,1,FAM89A
INHBA1,4.83981089152802e-16,0.526915020182168,0.935,0.505,4.83690700499311e-12,1,INHBA
RP11-598F7.3,1.03236839483099e-15,0.454650332594211,0.764,0.348,1.03174897379409e-11,1,RP11-598F7.3
MT2A1,1.81131528627074e-15,0.521136951729953,0.943,0.722,1.81022849709898e-11,1,MT2A
SUSD1,2.06838512109545e-15,0.356563458899009,0.39,0.114,2.06714409002279e-11,1,SUSD1
CSF1,4.06998768083972e-15,0.414483228674797,0.382,0.116,4.06754568823121e-11,1,CSF1
MT1E1,4.72903308788262e-15,0.604773336605149,0.593,0.26,4.72619566802989e-11,1,MT1E
RND3,6.93679165123161e-15,0.524886015999006,0.626,0.277,6.93262957624087e-11,1,RND3
S100P1,1.11703399267099e-13,0.343004403159187,0.35,0.102,1.11636377227539e-09,1,S100P
NOP10,1.44179266772941e-13,0.262153586304787,1,0.894,1.44092759212877e-09,1,NOP10
PHLDA1,2.0672866560638e-13,0.418400271877941,0.813,0.534,2.06604628407016e-09,1,PHLDA1
MSR11,1.72229764286356e-12,0.419880986446575,0.984,0.646,1.72126426427785e-08,1,MSR1
FABP41,3.48097708720684e-12,0.588383735285017,0.959,0.523,3.47888850095452e-08,1,FABP4
CRIP11,6.10767051377481e-12,0.38868502697222,0.772,0.484,6.10400591146655e-08,1,CRIP1
YBX1,8.37836715956895e-11,0.251699698059646,0.967,0.851,8.37334013927321e-07,1,YBX1
ACOT7,8.82425950530044e-11,0.332970606603663,0.455,0.187,8.81896494959726e-07,1,ACOT7
THBD,1.13248685615938e-10,0.385124711678118,0.805,0.518,1.13180736404569e-06,1,THBD
HPGD1,1.34511838756811e-10,0.289143360216157,0.35,0.125,1.34431131653557e-06,1,HPGD
SNX101,1.63150963072581e-10,0.334445025526921,0.846,0.601,1.63053072494738e-06,1,SNX10
PAG1,3.46188180348367e-10,0.36265278218921,0.626,0.38,3.45980467440158e-06,1,PAG1
PRSS211,5.1342395627408e-10,0.291995806275315,0.398,0.154,5.13115901900315e-06,1,PRSS21
RAB11FIP1,5.7668245183964e-10,0.341482933231497,0.634,0.378,5.76336442368536e-06,1,RAB11FIP1
PHLDA31,5.91646549911691e-10,0.336893983173756,0.577,0.271,5.91291561981744e-06,1,PHLDA3
PCOLCE21,7.68996538805478e-10,0.283563497364675,0.39,0.149,7.68535140882195e-06,1,PCOLCE2
MT1X1,7.93793697141415e-10,0.489338452598359,0.667,0.405,7.9331742092313e-06,1,MT1X
CA21,8.44560092181435e-10,0.335037218314074,0.48,0.219,8.44053356126126e-06,1,CA2
GCHFR1,9.80980599145272e-10,0.344698123397911,0.902,0.684,9.80392010785785e-06,1,GCHFR
PPARG1,1.14931057214244e-09,0.359558081669125,0.732,0.389,1.14862098579915e-05,1,PPARG
B3GNT5,1.36076914159109e-09,0.316006531870526,0.789,0.555,1.35995268010614e-05,1,B3GNT5
TNNI21,1.50000351182105e-09,0.314759824521168,0.488,0.215,1.49910350971395e-05,1,TNNI2
BCL2L1,1.71365343971577e-09,0.254425617856718,0.35,0.133,1.71262524765194e-05,1,BCL2L1
PLEKHO2,2.63129379916218e-09,0.305289679973615,0.504,0.257,2.62971502288268e-05,1,PLEKHO2
TSPYL1,2.93855732375887e-09,0.25156544518777,0.35,0.137,2.93679418936461e-05,1,TSPYL1
ARRDC41,4.57503496921377e-09,0.305827073478359,0.358,0.147,4.57228994823225e-05,1,ARRDC4
S100A131,5.4728186882386e-09,0.306817254321221,0.764,0.536,5.46953499702566e-05,1,S100A13
SIRPA,7.83940103334085e-09,0.316769870964694,0.504,0.247,7.83469739272084e-05,1,SIRPA
PTPN12,1.08577311784926e-08,0.315223022870284,0.626,0.399,0.000108512165397855,1,PTPN12
MT1G1,1.19199119665077e-08,0.361426736670957,0.39,0.162,0.000119127600193278,1,MT1G
