GO.ID,Term,Annotated,Significant,Expected,Rank in Fisher.classic,Fisher.elim,Fisher.classic
GO:0043537,negative regulation of blood vessel endo...,20,6,0.6,65,1.8e-05,2.0e-05
GO:0010043,response to zinc ion,20,6,0.6,66,1.8e-05,2.0e-05
GO:0007186,G protein-coupled receptor signaling pat...,261,21,7.77,93,3.2e-05,4.5e-05
GO:0071495,cellular response to endogenous stimulus,709,43,21.11,45,4.2e-05,8.6e-06
GO:0006955,immune response,937,49,27.9,119,5.5e-05,9.8e-05
GO:0071280,cellular response to copper ion,16,5,0.48,114,7.5e-05,8.4e-05
GO:0006469,negative regulation of protein kinase ac...,144,14,4.29,126,9.5e-05,0.00012
GO:0045597,positive regulation of cell differentiat...,457,34,13.61,32,0.00010,1.1e-06
GO:0098754,detoxification,79,10,2.35,130,0.00011,0.00013
GO:0001818,negative regulation of cytokine producti...,166,15,4.94,133,0.00012,0.00016
GO:0015909,long-chain fatty acid transport,30,6,0.89,149,0.00021,0.00024
GO:0006882,cellular zinc ion homeostasis,20,5,0.6,154,0.00024,0.00027
GO:0071407,cellular response to organic cyclic comp...,324,22,9.65,180,0.00026,0.00035
GO:0009888,tissue development,965,57,28.74,27,0.00040,5.1e-07
GO:0033993,response to lipid,488,36,14.53,28,0.00040,6.2e-07
GO:0072574,hepatocyte proliferation,13,4,0.39,194,0.00044,0.00048
GO:0018149,peptide cross-linking,13,4,0.39,195,0.00044,0.00048
GO:0010759,positive regulation of macrophage chemot...,13,4,0.39,196,0.00044,0.00048
GO:0019221,cytokine-mediated signaling pathway,274,23,8.16,50,0.00045,9.7e-06
GO:0001649,osteoblast differentiation,130,12,3.87,209,0.00048,0.00059
GO:0071402,cellular response to lipoprotein particl...,23,5,0.68,205,0.00049,0.00054
GO:0006909,phagocytosis,169,14,5.03,211,0.00051,0.00063
GO:1902533,positive regulation of intracellular sig...,582,32,17.33,231,0.00053,0.00079
GO:0071276,cellular response to cadmium ion,24,5,0.71,215,0.00060,0.00067
GO:0010885,regulation of cholesterol storage,14,4,0.42,212,0.00061,0.00066
GO:0010560,positive regulation of glycoprotein bios...,14,4,0.42,213,0.00061,0.00066
GO:0045926,negative regulation of growth,134,12,3.99,229,0.00063,0.00077
GO:0010038,response to metal ion,183,18,5.45,54,0.00066,1.1e-05
GO:0001937,negative regulation of endothelial cell ...,25,5,0.74,237,0.00073,0.00081
GO:0030728,ovulation,15,4,0.45,240,0.00081,0.00088
GO:0051240,positive regulation of multicellular org...,745,51,22.19,18,0.00090,2.3e-08
GO:0002683,negative regulation of immune system pro...,235,20,7,74,0.00090,3.1e-05
GO:0042742,defense response to bacterium,121,11,3.6,259,0.00093,0.00112
GO:0071345,cellular response to cytokine stimulus,503,41,14.98,11,0.00105,5.4e-09
GO:0050892,intestinal absorption,16,4,0.48,261,0.00105,0.00115
GO:0042632,cholesterol homeostasis,41,6,1.22,275,0.00123,0.00138
GO:0010888,negative regulation of lipid storage,17,4,0.51,279,0.00135,0.00146
GO:0010875,positive regulation of cholesterol efflu...,17,4,0.51,280,0.00135,0.00146
GO:0010743,regulation of macrophage derived foam ce...,17,4,0.51,281,0.00135,0.00146
GO:0033002,muscle cell proliferation,108,10,3.22,291,0.00138,0.00163
GO:0098739,import across plasma membrane,73,8,2.17,289,0.00140,0.00161
GO:0060612,adipose tissue development,29,5,0.86,292,0.00149,0.00164
GO:0030225,macrophage differentiation,29,5,0.86,293,0.00149,0.00164
GO:0010243,response to organonitrogen compound,593,31,17.66,315,0.00149,0.00213
GO:0010628,positive regulation of gene expression,666,36,19.83,200,0.00155,0.00050
GO:0062013,positive regulation of small molecule me...,75,8,2.23,303,0.00167,0.00192
GO:0006953,acute-phase response,18,4,0.54,299,0.00169,0.00184
GO:0009725,response to hormone,500,27,14.89,331,0.00191,0.00263
GO:0070887,cellular response to chemical stimulus,1663,108,49.52,1,0.00194,1.4e-16
GO:0097242,amyloid-beta clearance,31,5,0.92,320,0.00203,0.00224
GO:0035914,skeletal muscle cell differentiation,31,5,0.92,321,0.00203,0.00224
GO:0007162,negative regulation of cell adhesion,171,16,5.09,105,0.00221,6.3e-05
GO:0022604,regulation of cell morphogenesis,197,14,5.87,333,0.00224,0.00275
GO:0060284,regulation of cell development,244,19,7.27,134,0.00228,0.00016
GO:0030595,leukocyte chemotaxis,131,14,3.9,91,0.00242,4.2e-05
GO:0051094,positive regulation of developmental pro...,661,49,19.68,10,0.00248,3.4e-09
GO:0001666,response to hypoxia,178,13,5.3,348,0.00251,0.00304
GO:0008203,cholesterol metabolic process,80,8,2.38,343,0.00253,0.00290
GO:0060986,endocrine hormone secretion,20,4,0.6,335,0.00256,0.00277
GO:0002544,chronic inflammatory response,10,3,0.3,339,0.00268,0.00286
GO:0050872,white fat cell differentiation,10,3,0.3,340,0.00268,0.00286
GO:0030316,osteoclast differentiation,59,9,1.76,108,0.00269,6.5e-05
GO:0006874,cellular calcium ion homeostasis,180,13,5.36,360,0.00276,0.00335
GO:0051017,actin filament bundle assembly,100,9,2.98,357,0.00287,0.00334
GO:0071674,mononuclear cell migration,115,13,3.42,92,0.00300,4.4e-05
GO:1900271,regulation of long-term synaptic potenti...,21,4,0.63,359,0.00308,0.00334
GO:0001959,regulation of cytokine-mediated signalin...,103,9,3.07,382,0.00351,0.00407
GO:0045765,regulation of angiogenesis,143,11,4.26,383,0.00356,0.00421
GO:0071356,cellular response to tumor necrosis fact...,143,11,4.26,384,0.00356,0.00421
GO:0046717,acid secretion,11,3,0.33,370,0.00361,0.00384
GO:2000651,positive regulation of sodium ion transm...,11,3,0.33,371,0.00361,0.00384
GO:0045672,positive regulation of osteoclast differ...,11,3,0.33,372,0.00361,0.00384
GO:0030194,positive regulation of blood coagulation,11,3,0.33,373,0.00361,0.00384
GO:0010893,positive regulation of steroid biosynthe...,11,3,0.33,374,0.00361,0.00384
GO:0007623,circadian rhythm,123,10,3.66,387,0.00361,0.00423
GO:0042981,regulation of apoptotic process,870,44,25.91,199,0.00363,0.00049
GO:0045773,positive regulation of axon extension,22,4,0.66,379,0.00368,0.00399
GO:0030851,granulocyte differentiation,22,4,0.66,380,0.00368,0.00399
GO:0070372,regulation of ERK1 and ERK2 cascade,165,12,4.91,391,0.00376,0.00450
GO:0032535,regulation of cellular component size,211,17,6.28,147,0.00377,0.00024
GO:2000027,regulation of animal organ morphogenesis,51,6,1.52,388,0.00386,0.00430
GO:0030865,cortical cytoskeleton organization,51,6,1.52,389,0.00386,0.00430
GO:0048872,homeostasis of number of cells,188,13,5.6,407,0.00402,0.00485
GO:0071222,cellular response to lipopolysaccharide,125,10,3.72,405,0.00405,0.00475
GO:0001890,placenta development,87,8,2.59,408,0.00426,0.00487
GO:0006509,membrane protein ectodomain proteolysis,37,5,1.1,412,0.00451,0.00495
GO:0044070,regulation of anion transport,37,5,1.1,413,0.00451,0.00495
GO:0120162,positive regulation of cold-induced ther...,53,6,1.58,418,0.00468,0.00521
GO:0030730,sequestering of triglyceride,12,3,0.36,414,0.00470,0.00501
GO:0007165,signal transduction,2848,130,84.81,17,0.00486,2.0e-08
GO:0045940,positive regulation of steroid metabolic...,15,5,0.45,99,0.00499,5.9e-05
GO:0038066,p38MAPK cascade,38,5,1.13,429,0.00506,0.00556
GO:0048513,animal organ development,1725,90,51.37,21,0.00508,3.2e-08
GO:0071634,regulation of transforming growth factor...,24,4,0.71,424,0.00510,0.00553
GO:1902003,regulation of amyloid-beta formation,24,4,0.71,425,0.00510,0.00553
GO:0030224,monocyte differentiation,24,4,0.71,426,0.00510,0.00553
GO:0030001,metal ion transport,349,22,10.39,246,0.00521,0.00096
GO:0045596,negative regulation of cell differentiat...,311,18,9.26,453,0.00534,0.00670
GO:0042098,T cell proliferation,130,10,3.87,440,0.00535,0.00624
GO:0071363,cellular response to growth factor stimu...,341,22,10.15,219,0.00536,0.00071
GO:1901701,cellular response to oxygen-containing c...,652,36,19.42,174,0.00554,0.00034
GO:0001837,epithelial to mesenchymal transition,91,8,2.71,448,0.00560,0.00639
GO:0034762,regulation of transmembrane transport,232,17,6.91,220,0.00573,0.00071
GO:0050868,negative regulation of T cell activation,73,7,2.17,452,0.00585,0.00660
GO:0097529,myeloid leukocyte migration,126,13,3.75,124,0.00592,0.00011
GO:0010762,regulation of fibroblast migration,25,4,0.74,449,0.00594,0.00642
GO:1903532,positive regulation of secretion by cell,132,10,3.93,458,0.00595,0.00694
GO:1900369,negative regulation of post-transcriptio...,13,3,0.39,443,0.00598,0.00637
GO:0014070,response to organic cyclic compound,486,33,14.47,56,0.00626,1.1e-05
GO:0051093,negative regulation of developmental pro...,407,26,12.12,155,0.00627,0.00027
GO:0034446,substrate adhesion-dependent cell spread...,74,7,2.2,465,0.00630,0.00710
GO:0051962,positive regulation of nervous system de...,116,12,3.45,143,0.00631,0.00020
GO:0150104,transport across blood-brain barrier,40,5,1.19,459,0.00633,0.00694
GO:2001238,positive regulation of extrinsic apoptot...,40,5,1.19,460,0.00633,0.00694
GO:0000380,alternative mRNA splicing, via spliceoso...,57,6,1.7,475,0.00670,0.00745
GO:0043085,positive regulation of catalytic activit...,683,32,20.34,499,0.00677,0.00934
GO:0030511,positive regulation of transforming grow...,26,4,0.77,470,0.00685,0.00741
GO:2000351,regulation of endothelial cell apoptotic...,26,4,0.77,471,0.00685,0.00741
GO:0032370,positive regulation of lipid transport,26,4,0.77,472,0.00685,0.00741
GO:1902745,positive regulation of lamellipodium org...,26,4,0.77,473,0.00685,0.00741
GO:0045321,leukocyte activation,573,36,17.06,68,0.00690,2.4e-05
GO:1902532,negative regulation of intracellular sig...,345,19,10.27,497,0.00718,0.00904
GO:0046578,regulation of Ras protein signal transdu...,115,9,3.42,487,0.00723,0.00832
GO:0032956,regulation of actin cytoskeleton organiz...,225,14,6.7,496,0.00730,0.00881
GO:0043393,regulation of protein binding,136,10,4.05,491,0.00731,0.00851
GO:0043032,positive regulation of macrophage activa...,14,3,0.42,481,0.00745,0.00792
GO:0010634,positive regulation of epithelial cell m...,96,8,2.86,493,0.00770,0.00875
GO:1901888,regulation of cell junction assembly,96,8,2.86,494,0.00770,0.00875
GO:0050709,negative regulation of protein secretion,27,4,0.8,490,0.00786,0.00850
GO:0006954,inflammatory response,408,26,12.15,160,0.00793,0.00028
GO:0098657,import into cell,97,8,2.89,498,0.00818,0.00930
GO:0032496,response to lipopolysaccharide,186,16,5.54,136,0.00829,0.00017
GO:0032103,positive regulation of response to exter...,245,18,7.3,192,0.00842,0.00048
GO:0030301,cholesterol transport,43,5,1.28,501,0.00861,0.00944
GO:0044703,multi-organism reproductive process,98,8,2.92,510,0.00868,0.00987
GO:0044092,negative regulation of molecular functio...,644,38,19.18,97,0.00893,5.6e-05
GO:0001952,regulation of cell-matrix adhesion,79,7,2.35,511,0.00896,0.01007
GO:1900087,positive regulation of G1/S transition o...,28,4,0.83,506,0.00896,0.00968
GO:0035357,peroxisome proliferator activated recept...,15,3,0.45,507,0.00911,0.00968
GO:0071786,endoplasmic reticulum tubular network or...,15,3,0.45,508,0.00911,0.00968
GO:0071900,regulation of protein serine/threonine k...,232,14,6.91,526,0.00944,0.01136
