"","Var1","Var2","Freq"
"1","0","P1",0
"2","1","P1",0
"3","2","P1",0.00204081632653061
"4","3","P1",0.109183673469388
"5","4","P1",0.00102040816326531
"6","5","P1",0
"7","6","P1",0
"8","7","P1",0
"9","8","P1",0.0551020408163265
"10","9","P1",0
"11","10","P1",0
"12","11","P1",0
"13","0","P2",0.126530612244898
"14","1","P2",0.125510204081633
"15","2","P2",0.00510204081632653
"16","3","P2",0
"17","4","P2",0.107142857142857
"18","5","P2",0
"19","6","P2",0.0673469387755102
"20","7","P2",0
"21","8","P2",0
"22","9","P2",0
"23","10","P2",0.0459183673469388
"24","11","P2",0.036734693877551
"25","0","P3",0
"26","1","P3",0
"27","2","P3",0
"28","3","P3",0
"29","4","P3",0
"30","5","P3",0
"31","6","P3",0
"32","7","P3",0.0581632653061224
"33","8","P3",0
"34","9","P3",0.05
"35","10","P3",0
"36","11","P3",0
"37","0","P4",0
"38","1","P4",0
"39","2","P4",0.112244897959184
"40","3","P4",0
"41","4","P4",0
"42","5","P4",0.0979591836734694
"43","6","P4",0
"44","7","P4",0
"45","8","P4",0
"46","9","P4",0
"47","10","P4",0
"48","11","P4",0
