p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FABP4,2.76013301932101e-89,1.76681901381326,0.805,0.072,2.75847693950941e-85,M2,FABP4
MARCO,2.40238909481003e-84,1.14100067819829,0.888,0.257,2.40094766135314e-80,M2,MARCO
MSR1,1.82578682408328e-79,1.07195879758466,0.893,0.234,1.82469135198883e-75,M2,MSR1
C1QB,5.39632225112581e-75,0.984140149230177,0.941,0.461,5.39308445777513e-71,M2,C1QB
APOC1,7.30172613542884e-71,0.824019235091094,0.984,0.734,7.29734509974758e-67,M2,APOC1
C1QC,2.35191082172859e-69,0.968859505870297,0.926,0.345,2.35049967523555e-65,M2,C1QC
CD52,7.07155593892867e-68,0.688894311645896,0.941,0.73,7.06731300536531e-64,M2,CD52
C1QA,1.04794295725091e-63,0.794990899468283,0.976,0.536,1.04731419147656e-59,M2,C1QA
LPL,2.57954929580907e-62,0.995085319237849,0.657,0.059,2.57800156623158e-58,M2,LPL
NUPR1,2.03377472185705e-59,0.940284108943025,0.737,0.194,2.03255445702394e-55,M2,NUPR1
INHBA,1.51924202660669e-57,1.01217006220035,0.741,0.155,1.51833048139073e-53,M2,INHBA
SERPING1,2.63633430641555e-57,0.890853380432625,0.643,0.086,2.6347525058317e-53,M2,SERPING1
ACP5,6.27998479911588e-56,0.637806590529443,0.945,0.605,6.27621680823641e-52,M2,ACP5
RP11-598F7.3,2.22715145209746e-53,0.842578232941022,0.565,0.033,2.22581516122621e-49,M2,RP11-598F7.3
CYP27A1,2.81551988923499e-50,0.735565175627218,0.663,0.145,2.81383057730145e-46,M2,CYP27A1
RBP4,1.05848278627634e-49,0.899023719916676,0.53,0.026,1.05784769660457e-45,M2,RBP4
LY6E,2.12380248829564e-48,0.611842579075915,0.879,0.586,2.12252820680267e-44,M2,LY6E
CTSC,8.63646883669484e-47,0.495853329540463,0.962,0.766,8.63128695539282e-43,M2,CTSC
PPARG,1.41364864360408e-46,0.705100021860136,0.584,0.092,1.41280045441792e-42,M2,PPARG
GCHFR,1.6753338906786e-45,0.684458997223315,0.83,0.447,1.67432869034419e-41,M2,GCHFR
TGM2,8.83981730316154e-45,0.70689989265424,0.75,0.355,8.83451341277964e-41,M2,TGM2
CTSS,2.25325525555387e-44,0.411642111796037,0.966,0.822,2.25190330240054e-40,M2,CTSS
