p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,2.76013301932101e-89,1.76681901381326,0.805,0.072,2.75847693950941e-85,M2,FABP4
2,2.40238909481003e-84,1.14100067819829,0.888,0.257,2.40094766135314e-80,M2,MARCO
3,1.82578682408328e-79,1.07195879758466,0.893,0.234,1.82469135198883e-75,M2,MSR1
4,5.39632225112581e-75,0.984140149230177,0.941,0.461,5.39308445777513e-71,M2,C1QB
5,7.30172613542884e-71,0.824019235091094,0.984,0.734,7.29734509974758e-67,M2,APOC1
6,2.35191082172859e-69,0.968859505870297,0.926,0.345,2.35049967523555e-65,M2,C1QC
7,7.07155593892867e-68,0.688894311645896,0.941,0.73,7.06731300536531e-64,M2,CD52
8,1.04794295725091e-63,0.794990899468283,0.976,0.536,1.04731419147656e-59,M2,C1QA
9,2.57954929580907e-62,0.995085319237849,0.657,0.059,2.57800156623158e-58,M2,LPL
10,2.03377472185705e-59,0.940284108943025,0.737,0.194,2.03255445702394e-55,M2,NUPR1
11,1.51924202660669e-57,1.01217006220035,0.741,0.155,1.51833048139073e-53,M2,INHBA
12,2.63633430641555e-57,0.890853380432625,0.643,0.086,2.6347525058317e-53,M2,SERPING1
13,6.27998479911588e-56,0.637806590529443,0.945,0.605,6.27621680823641e-52,M2,ACP5
14,2.22715145209746e-53,0.842578232941022,0.565,0.033,2.22581516122621e-49,M2,RP11-598F7.3
15,2.81551988923499e-50,0.735565175627218,0.663,0.145,2.81383057730145e-46,M2,CYP27A1
16,1.05848278627634e-49,0.899023719916676,0.53,0.026,1.05784769660457e-45,M2,RBP4
17,2.12380248829564e-48,0.611842579075915,0.879,0.586,2.12252820680267e-44,M2,LY6E
18,1.41364864360408e-46,0.705100021860136,0.584,0.092,1.41280045441792e-42,M2,PPARG
19,1.6753338906786e-45,0.684458997223315,0.83,0.447,1.67432869034419e-41,M2,GCHFR
20,8.83981730316154e-45,0.70689989265424,0.75,0.355,8.83451341277964e-41,M2,TGM2
21,2.06576068572291e-43,0.667413976159919,0.464,0.01,2.06452122931148e-39,M2,GPD1
22,1.41782705042435e-42,0.62442678087474,0.839,0.375,1.41697635419409e-38,M2,GPNMB
23,1.72281869985421e-42,0.653830285203545,0.457,0.01,1.72178500863429e-38,M2,MME
24,5.72840002251011e-40,0.702511210300722,0.719,0.24,5.7249629824966e-36,M2,APOE
25,1.70626566309459e-39,0.844434278768771,0.453,0.026,1.70524190369673e-35,M2,RND3
26,1.77470513206988e-37,0.64168582194971,0.639,0.224,1.77364030899063e-33,M2,LGALS3BP
27,2.9425669863287e-37,0.663452442330616,0.547,0.122,2.9408014461369e-33,M2,SCD
28,2.03710825005058e-32,0.633568852019745,0.475,0.079,2.03588598510055e-28,M2,MIR3945HG
29,3.9258605868051e-28,0.64583619716393,0.818,0.599,3.92350507045302e-24,M2,MT2A
30,1.19767371519452e-24,0.689219875297272,0.401,0.082,1.1969551109654e-20,M2,MT1E
31,2.25831275335414e-50,0.833090927175955,0.685,0.155,2.25695776570213e-46,M0,TMEM176B
32,3.64479466877105e-44,0.476821168178463,0.994,0.943,3.64260779196979e-40,M0,SRGN
33,5.72499502794835e-39,0.539646291935493,0.309,0.023,5.72156003093158e-35,M0,OSM
34,1.49269249842123e-36,0.661506737051869,0.556,0.13,1.49179688292218e-32,M0,VCAN
35,2.25739690253441e-35,0.431825644156555,1,0.974,2.25604246439289e-31,M0,LYZ
36,6.28378295750142e-35,0.588513286991149,0.586,0.144,6.28001268772692e-31,M0,TMEM176A
37,1.24830325716555e-33,0.424294126382151,0.364,0.05,1.24755427521125e-29,M0,TRGC2
38,8.68524100990985e-33,0.53860794079084,0.531,0.134,8.68002986530391e-29,M0,SLC25A37
39,2.08694298988742e-27,0.432513888029112,0.457,0.109,2.08569082409349e-23,M0,SORL1
40,1.5842283353184e-26,0.412668926432829,0.457,0.109,1.58327779831721e-22,M0,FGL2
41,1.76738689536303e-26,0.761203322998564,0.759,0.509,1.76632646322581e-22,M0,CFD
42,9.13030845705101e-26,0.605728013100054,0.907,0.686,9.12483027197678e-22,M0,RP11-1143G9.4
43,9.86235638346332e-24,0.545587157740876,0.84,0.522,9.85643896963324e-20,M0,MS4A6A
44,6.06536415046642e-23,0.41837550058956,0.438,0.115,6.06172493197614e-19,M0,SPINK1
45,7.00135971006941e-23,0.491313421295738,0.302,0.056,6.99715889424337e-19,M0,FCN1
46,3.30571012656229e-22,0.435311419072175,0.932,0.741,3.30372670048636e-18,M0,JUNB
47,1.15623262267512e-20,0.576515128569123,0.809,0.51,1.15553888310151e-16,M0,S100A8
48,3.63946275255892e-20,0.521950477581272,0.599,0.252,3.63727907490739e-16,M0,ZNF331
49,1.01593779947783e-19,0.477345948002618,0.636,0.259,1.01532823679814e-15,M0,PMP22
50,3.07118262460517e-17,0.572065267512808,0.716,0.406,3.06933991503041e-13,M0,HSPA6
51,6.34857718860611e-17,0.430841572076139,0.364,0.109,6.34476804229295e-13,M0,HES1
52,1.52661334480093e-16,0.407773684801643,0.525,0.224,1.52569737679405e-12,M0,DNTTIP2
53,5.84303426711807e-16,0.537682932591213,0.704,0.446,5.8395284465578e-12,M0,SLC2A3
54,3.06362792269919e-15,0.455883557616623,0.642,0.325,3.06178974594557e-11,M0,NR4A2
55,3.63274803272842e-15,0.418008424529981,0.636,0.33,3.63056838390878e-11,M0,SAMSN1
56,1.5364191275185e-14,0.534375557383646,0.66,0.518,1.53549727604199e-10,M0,PLAC8
57,2.4293232902177e-14,0.401633901703194,0.765,0.482,2.42786569624357e-10,M0,NR4A1
58,4.21849326716381e-14,0.429482587667481,0.722,0.383,4.21596217120351e-10,M0,RGS2
59,3.64732316480882e-13,0.462572396739059,0.352,0.13,3.64513477090993e-09,M0,EREG
60,8.84180861861269e-09,0.443072651532952,0.309,0.143,8.83650353344152e-05,M0,EMP1
61,3.06027631509383e-92,1.04288742847336,0.662,0.044,3.05844014930477e-88,M1,DUSP4
62,6.36637023561336e-73,0.851077097935971,0.718,0.094,6.36255041347199e-69,M1,SERPINB9
63,2.62938829196343e-71,1.17973307419704,0.88,0.197,2.62781065898825e-67,M1,GPR183
64,1.02913678255737e-65,0.868649961186871,0.88,0.217,1.02851930048784e-61,M1,CFLAR
65,2.242241005795e-64,1.31343642969433,0.824,0.18,2.24089566119152e-60,M1,G0S2
66,5.43174603341991e-64,0.919675907975172,0.845,0.191,5.42848698579986e-60,M1,NR4A3
67,7.42305524829142e-63,1.11472093496344,0.866,0.223,7.41860141514245e-59,M1,RGS1
68,1.48674329936054e-55,0.966897918058905,0.93,0.342,1.48585125338092e-51,M1,CREM
69,8.78790840146991e-55,0.767772446933388,0.817,0.192,8.78263565642902e-51,M1,NFKB1
70,9.34831575387719e-55,0.822633188070048,0.796,0.208,9.34270676442487e-51,M1,RALA
71,6.85108940496466e-54,1.04167567299454,0.93,0.358,6.84697875132168e-50,M1,C15orf48
72,5.45335119600504e-52,1.28021519042345,0.592,0.095,5.45007918528744e-48,M1,SPP1
73,1.09745654072452e-51,0.622898430839871,0.683,0.125,1.09679806680008e-47,M1,RHOC
74,5.38903602231273e-48,0.778420485035451,0.873,0.301,5.38580260069935e-44,M1,NINJ1
75,1.37924361095756e-46,0.625443764211013,0.528,0.076,1.37841606479098e-42,M1,GEM
76,3.89739635505052e-46,0.799203233751388,0.859,0.333,3.89505791723749e-42,M1,PPA1
77,6.03883649984875e-44,0.637812403101099,0.739,0.192,6.03521319794884e-40,M1,PEA15
78,9.24132637455453e-44,0.616505497093965,0.986,0.704,9.2357815787298e-40,M1,LDHA
79,1.19065811204883e-42,0.741763324024134,0.915,0.317,1.1899437171816e-38,M1,ZFP36L1
80,4.95454223137549e-40,0.634622243134718,0.704,0.177,4.95156950603666e-36,M1,CORO1A
81,1.8556222145029e-39,0.713340981737583,0.57,0.117,1.8545088411742e-35,M1,BIRC3
82,3.02518616675178e-39,0.648602425819807,0.754,0.224,3.02337105505173e-35,M1,RIPK2
83,2.16494967201004e-38,0.777316225008102,0.93,0.517,2.16365070220684e-34,M1,REL
84,6.70298788030408e-36,0.638139742305662,0.915,0.428,6.6989660875759e-32,M1,RGS10
85,4.88448282520243e-30,0.678343359752604,0.866,0.366,4.8815521355073e-26,M1,RGS2
86,7.77830711086433e-30,0.615913964033711,0.866,0.418,7.77364012659781e-26,M1,PLEK
87,5.71611507127621e-29,0.772776456660076,0.739,0.272,5.71268540223345e-25,M1,AREG
88,3.22729239691482e-28,0.624429083513136,0.796,0.307,3.22535602147668e-24,M1,NR4A2
89,1.29052940704112e-24,0.660410349009778,0.852,0.51,1.2897550893969e-20,M1,TIMP1
90,2.73636253423388e-20,0.617951484061081,0.613,0.227,2.73472071671334e-16,M1,CCL3
