p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,1.21823502167205e-39,0.757658974474464,0.992,0.57,1.21750408065905e-35,0,HLA-DRB5
2,2.18819270420198e-33,0.816090702868772,0.968,0.521,2.18687978857946e-29,0,FABP4
3,2.7736199325644e-28,0.403587806551534,1,0.893,2.77195576060486e-24,0,APOC1
4,3.10579873792475e-28,0.58065650632026,0.984,0.65,3.103935258682e-24,0,MARCO
5,1.05681625714018e-25,0.683933609888408,1,0.467,1.0561821673859e-21,0,SCGB3A1
6,5.56258898234293e-25,0.418229198241875,0.984,0.86,5.55925142895352e-21,0,CD52
7,6.01606044610157e-24,0.606798471913926,0.887,0.433,6.01245080983391e-20,0,HLA-DQA2
8,1.08120913800909e-22,0.622998045669921,0.935,0.505,1.08056041252628e-18,0,INHBA
9,3.52743166050677e-21,0.577799728039474,0.887,0.403,3.52531520151047e-17,0,SCGB1A1
10,3.6465449821958e-20,0.462931620330589,0.476,0.143,3.64435705520648e-16,0,PRSS21
11,2.71458788193261e-19,0.514628311004098,0.992,0.645,2.71295912920345e-15,0,MSR1
12,1.06638964914218e-17,0.431300640211684,0.839,0.572,1.0657498153527e-13,0,CARD16
13,1.11536827561462e-17,0.366848623212051,1,0.817,1.11469905464926e-13,0,C1QA
14,1.91009355367264e-16,0.383645977419872,0.452,0.14,1.90894749754044e-12,0,PCOLCE2
15,1.48062809263853e-15,0.490932665045626,0.774,0.426,1.47973971578295e-11,0,SERPING1
16,1.49608122463653e-15,0.520521464938091,0.976,0.717,1.49518357590174e-11,0,MT2A
17,1.6816684757889e-15,0.391074124059394,0.935,0.73,1.68065947470342e-11,0,CD9
18,2.33675168503104e-14,0.36521276198586,0.863,0.686,2.33534963402002e-10,0,MGST3
19,2.74392354777061e-14,0.424581714692549,0.79,0.46,2.74227719364195e-10,0,CYP27A1
20,3.49310285079399e-13,0.407028248727075,0.798,0.48,3.49100698908351e-09,0,CRIP1
21,5.43959726389797e-12,0.366719606201729,0.935,0.689,5.43633350553964e-08,0,MCEMP1
22,3.25881688241046e-11,0.379723302530043,0.734,0.388,3.25686159228102e-07,0,PPARG
23,5.44487649459821e-11,0.368082423162898,0.629,0.345,5.44160956870145e-07,0,PNPLA6
24,1.27205987315934e-10,0.399872248314446,0.823,0.534,1.27129663723545e-06,0,APOE
25,1.69886715032124e-10,0.390176601477035,0.726,0.45,1.69784783003105e-06,0,MTRNR2L8
26,5.74382678335573e-10,0.399561124146337,0.782,0.558,5.74038048728572e-06,0,RETN
27,3.35226565703081e-09,0.458389505376468,0.387,0.162,3.35025429763659e-05,0,MT1G
28,5.28867215474655e-09,0.387614021386473,0.661,0.395,5.2854989514537e-05,0,CES1
29,2.56557900178908e-07,0.406273471005649,0.637,0.409,0.002564039654388,0,MT1X
30,3.47852875363011e-07,0.391504840575238,0.492,0.275,0.00347644163637793,0,MT1E
31,2.77544647983563e-24,0.631548235610251,0.748,0.295,2.77378121194773e-20,1,MIR3945HG
32,7.65281525812622e-23,0.634240025705432,0.984,0.47,7.64822356897134e-19,1,SCGB3A1
33,5.45092372860228e-21,0.350311086038297,0.967,0.837,5.44765317436512e-17,1,PPDPF
34,1.67001866817559e-20,0.55376241753318,0.902,0.401,1.66901665697469e-16,1,SCGB1A1
35,2.38984479334788e-17,0.373621788843789,0.992,0.859,2.38841088647187e-13,1,CD52
36,1.02197346034914e-16,0.402597338723909,0.407,0.114,1.02136027627293e-12,1,SPOCD1
37,2.66938358124159e-16,0.370994600920673,0.439,0.138,2.66778195109284e-12,1,FAM89A
38,4.83981089152802e-16,0.526915020182168,0.935,0.505,4.83690700499311e-12,1,INHBA
39,1.03236839483099e-15,0.454650332594211,0.764,0.348,1.03174897379409e-11,1,RP11-598F7.3
40,1.81131528627074e-15,0.521136951729953,0.943,0.722,1.81022849709898e-11,1,MT2A
41,2.06838512109545e-15,0.356563458899009,0.39,0.114,2.06714409002279e-11,1,SUSD1
42,4.06998768083972e-15,0.414483228674797,0.382,0.116,4.06754568823121e-11,1,CSF1
43,4.72903308788262e-15,0.604773336605149,0.593,0.26,4.72619566802989e-11,1,MT1E
44,6.93679165123161e-15,0.524886015999006,0.626,0.277,6.93262957624087e-11,1,RND3
45,1.11703399267099e-13,0.343004403159187,0.35,0.102,1.11636377227539e-09,1,S100P
46,2.0672866560638e-13,0.418400271877941,0.813,0.534,2.06604628407016e-09,1,PHLDA1
47,1.72229764286356e-12,0.419880986446575,0.984,0.646,1.72126426427785e-08,1,MSR1
48,3.48097708720684e-12,0.588383735285017,0.959,0.523,3.47888850095452e-08,1,FABP4
49,6.10767051377481e-12,0.38868502697222,0.772,0.484,6.10400591146655e-08,1,CRIP1
50,8.82425950530044e-11,0.332970606603663,0.455,0.187,8.81896494959726e-07,1,ACOT7
