Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	Number	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	8	1144	0.7%	No
IGBP1P1		14q13.2	AMP	66	1144	5.8%	No
KCTD10		12q24.11	AMP	2	1144	0.2%	No
LINC02901		6q25.3	AMP	1	1144	<0.1%	No
MAPK9		5q35.3	HOMDEL	11	1144	1.0%	No
KCTD10		12q24.11	HOMDEL	3	1144	0.3%	No
TAF8		6p21.1	HOMDEL	2	1144	0.2%	No
UPF3B		Xq24	HOMDEL	1	1144	<0.1%	No
PALM2AKAP2		9q31.3	AMP	4	1144	0.3%	No
C20ORF27		20p13	AMP	10	1144	0.9%	No
POU2AF2		11q23.1	AMP	9	1144	0.8%	No
NAT2		8p22	HOMDEL	43	1144	3.8%	No
TMEM38A		19p13.11	AMP	7	1144	0.6%	No
CT47A11		Xq24	HOMDEL	1	1144	<0.1%	No
ERMN		2q24.1	AMP	8	1144	0.7%	No
SEMA6D		15q21.1	AMP	3	1144	0.3%	No
FNBP4		11p11.2	HOMDEL	1	1144	<0.1%	No
OXR1		8q23.1	AMP	42	1144	3.7%	No
ZNF883		9q32	AMP	2	1144	0.2%	No
AQP6		12q13.12	AMP	7	1144	0.6%	No
WDFY3-AS2		4q21.23	HOMDEL	3	1144	0.3%	No
ZNF862		7q36.1	AMP	9	1144	0.8%	No
GIMAP2		7q36.1	AMP	9	1144	0.8%	No
B3GALT6		1p36.33	AMP	12	1144	1.0%	No
CRLF3		17q11.2	AMP	7	1144	0.6%	No
BROX		1q41	AMP	36	1144	3.1%	No
SNX25		4q35.1	AMP	3	1144	0.3%	No
TRIM27		6p22.1	HOMDEL	1	1144	<0.1%	Yes
AOC3		17q21.31	HOMDEL	2	1144	0.2%	No
TMEM120B		12q24.31	AMP	1	1144	<0.1%	No
ACTR3BP5		10p11.1	HOMDEL	2	1144	0.2%	No
NSMF		9q34.3	HOMDEL	4	1144	0.3%	No
TP53TG3HP		16p11.1	AMP	6	1144	0.5%	No
C8ORF34-AS1		8q13.2	HOMDEL	2	1144	0.2%	No
C9ORF64		9q21.32	HOMDEL	3	1144	0.3%	No
ZNF114		19q13.33	HOMDEL	1	1144	<0.1%	No
TSEN34		19q13.42	AMP	11	1144	1.0%	No
MTERF2		12q23.3	AMP	2	1144	0.2%	No
YPEL2		17q22	HOMDEL	1	1144	<0.1%	No
LRRC37A4P		17q21.31	AMP	6	1144	0.5%	No
KRTAP10-10		21q22.3	HOMDEL	4	1144	0.3%	No
SGK2		20q13.12	HOMDEL	1	1144	<0.1%	No
CNOT6		5q35.3	AMP	11	1144	1.0%	No
SMC1A		Xp11.22	HOMDEL	8	1144	0.7%	Yes
MIR3945HG		4q35.1	HOMDEL	38	1144	3.3%	No
AQP7		9p13.3	AMP	29	1144	2.5%	No
RNY4		7q36.1	HOMDEL	5	1144	0.4%	No
LINC02901		6q25.3	HOMDEL	5	1144	0.4%	No
POT1		7q31.33	HOMDEL	3	1144	0.3%	Yes
SRARP		1p36.13	AMP	3	1144	0.3%	No
FOXR1		11q23.3	AMP	5	1144	0.4%	No
MRPS2		9q34.3	AMP	4	1144	0.3%	No
SACS		13q12.12	HOMDEL	8	1144	0.7%	No
DAZAP1		19p13.3	HOMDEL	5	1144	0.4%	Yes
IGBP1P1		14q13.2	HOMDEL	2	1144	0.2%	No
PWAR5		15q11.2	HOMDEL	22	1144	1.9%	No
RSL1D1		16p13.13	AMP	6	1144	0.5%	No
SPATA9		5q15	AMP	2	1144	0.2%	No
AQP9		15q21.3	AMP	2	1144	0.2%	No
SYNC		1p35.1	AMP	5	1144	0.4%	No
PSME2		14q12	HOMDEL	4	1144	0.3%	No
GSX2		4q12	AMP	32	1144	2.8%	No
THG1L		5q33.3	AMP	4	1144	0.3%	No
NANOS1		10q26.11	HOMDEL	2	1144	0.2%	No
ZNF512B		20q13.33	AMP	36	1144	3.1%	No
KRTAP25-1		21q22.11	AMP	3	1144	0.3%	No
RNF31		14q12	AMP	19	1144	1.7%	No
TRIM64B		11q14.3	AMP	12	1144	1.0%	No
HOXA7		7p15.2	HOMDEL	4	1144	0.3%	No
KRTAP17-1		17q21.2	HOMDEL	2	1144	0.2%	No
CILP		15q22.31	HOMDEL	2	1144	0.2%	No
FAM200B		4p15.32	AMP	4	1144	0.3%	No
CLGN		4q31.1	HOMDEL	5	1144	0.4%	No
TMED6		16q22.1	HOMDEL	2	1144	0.2%	No
RMDN1		8q21.3	AMP	38	1144	3.3%	No
SMIM26		20p11.23	HOMDEL	5	1144	0.4%	No
LINC02900		5q31.1	HOMDEL	8	1144	0.7%	No
TMEM131L		4q31.3	HOMDEL	9	1144	0.8%	No
AR		Xq12	AMP	5	1144	0.4%	Yes
CFHR5		1q31.3	AMP	36	1144	3.1%	No
ADAM1A		12q24.12-q24.13	HOMDEL	4	1144	0.3%	No
NOC2L		1p36.33	AMP	12	1144	1.0%	No
TRIM16		17p12	HOMDEL	12	1144	1.0%	No
CPNE8		12q12	AMP	13	1144	1.1%	No
OR5P3		11p15.4	HOMDEL	5	1144	0.4%	No
PALM2AKAP2		9q31.3	HOMDEL	2	1144	0.2%	No
ZNF490		19p13.2-p13.13	AMP	6	1144	0.5%	No
INTS11		1p36.33	AMP	12	1144	1.0%	No
ADA		20q13.12	AMP	11	1144	1.0%	No
PPAT		4q12	HOMDEL	2	1144	0.2%	No
C9ORF40		9q21.13	AMP	2	1144	0.2%	No
KRTAP3-1		17q21.2	AMP	9	1144	0.8%	No
SSTR5-AS1		16p13.3	HOMDEL	5	1144	0.4%	No
ABCC6		16p13.11	AMP	5	1144	0.4%	No
MAP3K2		2q14.3	HOMDEL	1	1144	<0.1%	No
SSX8P		Xp11.22	AMP	4	1144	0.3%	No
ADAM10		15q21.3	AMP	1	1144	<0.1%	No
SCN10A		3p22.2	HOMDEL	2	1144	0.2%	No
CYBRD1		2q31.1	HOMDEL	1	1144	<0.1%	No
UTP11		1p34.3	AMP	12	1144	1.0%	No
KRT40		17q21.2	HOMDEL	2	1144	0.2%	No
DHX33		17p13.2	HOMDEL	11	1144	1.0%	No
CNGB3		8q21.3	AMP	38	1144	3.3%	No
FAM76B		11q21	HOMDEL	3	1144	0.3%	No
ANP32A-IT1		15q23	AMP	2	1144	0.2%	No
PIGT		20q13.12	HOMDEL	1	1144	<0.1%	No
NKPD1		19q13.32	AMP	18	1144	1.6%	No
ADAM8		10q26.3	AMP	6	1144	0.5%	No
USP6		17p13.2	HOMDEL	10	1144	0.9%	Yes
CCNL1		3q25.31	HOMDEL	1	1144	<0.1%	No
SCOC-AS1		4q31.1	HOMDEL	5	1144	0.4%	No
HMGN4		6p22.2	AMP	11	1144	1.0%	No
KRTAP1-5		17q21.2	AMP	9	1144	0.8%	No
ARAF		Xp11.3	AMP	11	1144	1.0%	Yes
TRIM38		6p22.2	AMP	10	1144	0.9%	No
ADAR		1q21.3	AMP	88	1144	7.7%	No
WDR45B		17q25.3	AMP	19	1144	1.7%	No
CNKSR1		1p36.11	HOMDEL	4	1144	0.3%	No
PPP1R37		19q13.32	AMP	18	1144	1.6%	No
COQ4		9q34.11	AMP	3	1144	0.3%	No
PAN3-AS1		13q12.2	AMP	3	1144	0.3%	No
APOBR		16p12.1	AMP	8	1144	0.7%	No
ZNF488		10q11.22	HOMDEL	4	1144	0.3%	No
NUPR2		7p11.2	AMP	51	1144	4.5%	No
TUSC1		9p21.2	HOMDEL	71	1144	6.2%	No
OR7E24		19p13.2	HOMDEL	4	1144	0.3%	No
BARX1		9q22.32	HOMDEL	7	1144	0.6%	No
ZNF671		19q13.43	HOMDEL	4	1144	0.3%	No
TADA3		3p25.3	AMP	3	1144	0.3%	No
ATP10B		5q34	HOMDEL	4	1144	0.3%	No
LINC01135		1p32.1	AMP	13	1144	1.1%	No
HAPLN3		15q26.1	AMP	11	1144	1.0%	No
TRPM3		9q21.12-q21.13	AMP	3	1144	0.3%	No
CXORF49B		Xq13.1	HOMDEL	7	1144	0.6%	No
PLAAT2		11q12.3	AMP	2	1144	0.2%	No
SSX6P		Xp11.23	AMP	13	1144	1.1%	No
TTC29		4q31.22	AMP	4	1144	0.3%	No
